MSH	MSH.Top	Disease	Indication	Category
"abnormalities, multiple"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"		"Dysplasia, unspecified"	Miscellaneous
acne vulgaris	Skin and Connective Tissue Diseases		Acne	Skin & connective tissue
acromegaly	Musculoskeletal Diseases		Acromegaly	Musculoskeletal
acute chest syndrome	Respiratory Tract Diseases		Acute chest syndrome	Respiratory
acute coronary syndrome	Cardiovascular Diseases		Acute coronary syndrome	Cardiovascular
acute lung injury	Respiratory Tract Diseases		Acute lung injury	Respiratory
addison disease	Endocrine System Diseases		"Adrenal insufficiency, primary, Addison's"	Endocrine
adenomatous polyposis coli	Neoplasms	"Brain tumor-polyposis syndrome 2,   Gardner syndrome,  "	"Adenoma, colorectal"	Oncology
adenoviridae infections	Virus Diseases		"Infection, adenovirus"	Infection
adrenal gland neoplasms	Neoplasms		"Cancer, adrenal"	Oncology
adrenoleukodystrophy	Nervous System Diseases	"Adrenomyeloneuropathy, adult,  "	Adrenoleukodystrophy	Neurological/behavioral
afibrinogenemia	Hemic and Lymphatic Diseases		"Fibrinogen deficiency, congenital"	Blood
agammaglobulinemia	Hemic and Lymphatic Diseases	"Agammaglobulinemia 5,  "	X-linked agammaglobulinaemia	Blood
agranulocytosis	Hemic and Lymphatic Diseases		Granulocytopenia	Blood
aids dementia complex	Virus Diseases		"Dementia, AIDS-related"	Infection
"akathisia, drug-induced"	Nervous System Diseases		"Akathisia, neuroleptic-induced"	Neurological/behavioral
"alcohol-induced disorders, nervous system"	Nervous System Diseases		Alcohol intolerance	Neurological/behavioral
alcoholism	Substance-Related Disorders		"Addiction, alcohol"	Neurological/behavioral
alopecia	Skin and Connective Tissue Diseases		"Alopecia, androgenic"	Skin & connective tissue
alopecia areata	Skin and Connective Tissue Diseases		"Alopecia, areata"	Skin & connective tissue
alpha 1-antitrypsin deficiency	Digestive System Diseases	"Hemorrhagic diathesis due to \'antithrombin\' Pittsburgh,  "	"Emphysema, alpha-1 antitrypsin deficiency"	Respiratory
alpha-mannosidosis	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Mannosidosis, alpha-, types I and II,  "	Alpha-mannosidosis	Metabolic
alzheimer disease	Nervous System Diseases		Alzheimer's disease	Neurological/behavioral
amenorrhea	"Pathological Conditions, Signs and Symptoms"		Amenorrhoea	Urogenital
"amino acid metabolism, inborn errors"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"		Methylmalonic acidaemia	Metabolic
amnesia	Nervous System Diseases		Amnesia	Neurological/behavioral
amyloidosis	Nutritional and Metabolic Diseases		"Amyloidosis, AL"	Neurological/behavioral
amyotrophic lateral sclerosis	Nervous System Diseases		Amyotrophic lateral sclerosis	Neurological/behavioral
anaphylaxis	Immune System Diseases		Anaphylaxis	Inflammation
anemia	Hemic and Lymphatic Diseases		"Anaemia, aplastic, Fanconi's"	Blood
"anemia, aplastic"	Hemic and Lymphatic Diseases	"{Aplastic anemia},  "	"Transplant rejection, bone marrow"	Neurological/behavioral
"anemia, hemolytic, autoimmune"	Hemic and Lymphatic Diseases		"Anaemia, haemolytic, autoimmune"	Blood
