ti_uid	gene	indication_mesh_id	indication_mesh_term
ABAT-D013036	ABAT	D013036	Spasms, Infantile
ABCB1-D001943	ABCB1	D001943	Breast Neoplasms
ABCB1-D002289	ABCB1	D002289	Carcinoma, Non-Small-Cell Lung
ABCB1-D007938	ABCB1	D007938	Leukemia
ABCB1-D009369	ABCB1	D009369	Neoplasms
ABCC8-D003920	ABCC8	D003920	Diabetes Mellitus
ABCC8-D003924	ABCC8	D003924	Diabetes Mellitus, Type 2
ABCC9-D000505	ABCC9	D000505	Alopecia
ABCC9-D000506	ABCC9	D000506	Alopecia Areata
ABCC9-D000787	ABCC9	D000787	Angina Pectoris
ABCD1-D000326	ABCD1	D000326	Adrenoleukodystrophy
ABL1-D004686	ABL1	D004686	Encephalomyocarditis virus
ABL1-D006976	ABL1	D006976	Hypertension, Pulmonary
ABL1-D008415	ABL1	D008415	Mastocytosis
ABL1-D009190	ABL1	D009190	Myelodysplastic Syndromes
ABL1-D012509	ABL1	D012509	Sarcoma
ABL1-D015464	ABL1	D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive
ABL1-D015470	ABL1	D015470	Leukemia, Myeloid, Acute
ABL1-D017681	ABL1	D017681	Hypereosinophilic Syndrome
ABL1-D046152	ABL1	D046152	Gastrointestinal Stromal Tumors
ABL1-D054198	ABL1	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
ACE-D003928	ACE	D003928	Diabetic Nephropathies
ACE-D006333	ACE	D006333	Heart Failure
ACE-D006973	ACE	D006973	Hypertension
ACE-D009203	ACE	D009203	Myocardial Infarction
ACHE-D000544	ACHE	D000544	Alzheimer Disease
ACHE-D000762	ACHE	D000762	Anesthesia Recovery Period
ACHE-D003704	ACHE	D003704	Dementia
ACHE-D004415	ACHE	D004415	Dyspepsia
ACHE-D005756	ACHE	D005756	Gastritis
ACHE-D009140	ACHE	D009140	Musculoskeletal Diseases
ACHE-D011041	ACHE	D011041	Poisoning
ACHE-D013514	ACHE	D013514	Surgical Procedures, Operative
ACHE-D014245	ACHE	D014245	Trichomonas Infections
ACHE-D015140	ACHE	D015140	Dementia, Vascular
ACHE-D020961	ACHE	D020961	Lewy Body Disease
ACHE-D060737	ACHE	D060737	Reproductive Tract Infections
ACPP-D011471	ACPP	D011471	Prostatic Neoplasms
ACR-D000086382	ACR	D000086382	COVID-19
ACR-D060737	ACR	D060737	Reproductive Tract Infections
ACVR1-D055728	ACVR1	D055728	Primary Myelofibrosis
ACVRL1-D009190	ACVRL1	D009190	Myelodysplastic Syndromes
ACVRL1-D013789	ACVRL1	D013789	Thalassemia
ADA-D007938	ADA	D007938	Leukemia
ADA-D007943	ADA	D007943	Leukemia, Hairy Cell
ADA-D008228	ADA	D008228	Lymphoma, Non-Hodgkin
ADA-D016399	ADA	D016399	Lymphoma, T-Cell
ADA-SDI0168	ADA	SDI0168	
ADORA1-D001249	ADORA1	D001249	Asthma
ADORA1-D004646	ADORA1	D004646	Emphysema
ADORA1-D029481	ADORA1	D029481	Bronchitis, Chronic
ADORA2A-D001249	ADORA2A	D001249	Asthma
ADORA2A-D010300	ADORA2A	D010300	Parkinson Disease
ADRA1A-D000544	ADRA1A	D000544	Alzheimer Disease
ADRA1A-D001289	ADRA1A	D001289	Attention Deficit Disorder with Hyperactivity
ADRA1A-D001714	ADRA1A	D001714	Bipolar Disorder
ADRA1A-D001763	ADRA1A	D001763	Blepharoptosis
ADRA1A-D003704	ADRA1A	D003704	Dementia
ADRA1A-D003863	ADRA1A	D003863	Depression
ADRA1A-D003865	ADRA1A	D003865	Depressive Disorder, Major
ADRA1A-D007022	ADRA1A	D007022	Hypotension
ADRA1A-D011470	ADRA1A	D011470	Prostatic Hyperplasia
ADRA1A-D011618	ADRA1A	D011618	Psychotic Disorders
ADRA1A-D012559	ADRA1A	D012559	Schizophrenia
ADRA1A-D013514	ADRA1A	D013514	Surgical Procedures, Operative
ADRA1A-D015140	ADRA1A	D015140	Dementia, Vascular
ADRA1A-D053159	ADRA1A	D053159	Dysuria
ADRA1A-D056912	ADRA1A	D056912	Binge-Eating Disorder
ADRA1B-D007022	ADRA1B	D007022	Hypotension
ADRA1D-D007022	ADRA1D	D007022	Hypotension
ADRA1D-D012559	ADRA1D	D012559	Schizophrenia
ADRA2A-D000072716	ADRA2A	D000072716	Cancer Pain
ADRA2A-D001289	ADRA2A	D001289	Attention Deficit Disorder with Hyperactivity
ADRA2A-D001714	ADRA2A	D001714	Bipolar Disorder
ADRA2A-D001763	ADRA2A	D001763	Blepharoptosis
ADRA2A-D005901	ADRA2A	D005901	Glaucoma
ADRA2A-D006973	ADRA2A	D006973	Hypertension
ADRA2A-D012393	ADRA2A	D012393	Rosacea
ADRA2A-D012559	ADRA2A	D012559	Schizophrenia
ADRA2B-D000072716	ADRA2B	D000072716	Cancer Pain
ADRA2B-D001289	ADRA2B	D001289	Attention Deficit Disorder with Hyperactivity
ADRA2B-D006973	ADRA2B	D006973	Hypertension
ADRA2B-D012774	ADRA2B	D012774	Shock, Traumatic
ADRA2C-D000072716	ADRA2C	D000072716	Cancer Pain
ADRA2C-D001289	ADRA2C	D001289	Attention Deficit Disorder with Hyperactivity
ADRA2C-D006973	ADRA2C	D006973	Hypertension
ADRB1-D000787	ADRB1	D000787	Angina Pectoris
ADRB1-D001145	ADRB1	D001145	Arrhythmias, Cardiac
ADRB1-D001281	ADRB1	D001281	Atrial Fibrillation
ADRB1-D005901	ADRB1	D005901	Glaucoma
ADRB1-D006333	ADRB1	D006333	Heart Failure
ADRB1-D006973	ADRB1	D006973	Hypertension
ADRB1-D013610	ADRB1	D013610	Tachycardia
