gene	maxphasenum	maxphase	indication_mesh_id	indication_mesh_term
ABCA1	1	Preclinical	D003924	Diabetes Mellitus, Type 2
ABCC8	5	Launched	D003924	Diabetes Mellitus, Type 2
ACACA	1	Preclinical	D003920	Diabetes Mellitus
ACACB	3	Phase II	D003924	Diabetes Mellitus, Type 2
ACE	1	Preclinical	D003920	Diabetes Mellitus
ACLY	1	Preclinical	D003924	Diabetes Mellitus, Type 2
ACVR2B	3	Phase II	D003924	Diabetes Mellitus, Type 2
ADAM17	1	Preclinical	D003920	Diabetes Mellitus
ADH5	1	Preclinical	D003920	Diabetes Mellitus
ADIPOQ	1	Preclinical	D003920	Diabetes Mellitus
ADIPOR2	1	Preclinical	D003924	Diabetes Mellitus, Type 2
ADORA1	2	Phase I	D003924	Diabetes Mellitus, Type 2
ADORA2B	1	Preclinical	D003924	Diabetes Mellitus, Type 2
ADRB3	3	Phase II	D003924	Diabetes Mellitus, Type 2
AKR1B1	3	Phase II	D003920	Diabetes Mellitus
ALOX12	1	Preclinical	D003920	Diabetes Mellitus
ALOX15	1	Preclinical	D003920	Diabetes Mellitus
ANGPTL3	3	Phase II	D003924	Diabetes Mellitus, Type 2
APCS	3	Phase II	D003924	Diabetes Mellitus, Type 2
APH1A	1	Preclinical	D003920	Diabetes Mellitus
APLN	1	Preclinical	D003924	Diabetes Mellitus, Type 2
APOA4	1	Preclinical	D003924	Diabetes Mellitus, Type 2
APOC3	1	Preclinical	D003924	Diabetes Mellitus, Type 2
AR	4	Phase III	D003924	Diabetes Mellitus, Type 2
ATP2A2	1	Preclinical	D003924	Diabetes Mellitus, Type 2
AVPR2	2	Phase I	D003920	Diabetes Mellitus
BACE2	1	Preclinical	D003924	Diabetes Mellitus, Type 2
BCAT2	1	Preclinical	D003920	Diabetes Mellitus
BGLAP	1	Preclinical	D003920	Diabetes Mellitus
BMP4	1	Preclinical	D003924	Diabetes Mellitus, Type 2
BMP7	3	Phase II	D003924	Diabetes Mellitus, Type 2
BRD4	4	Phase III	D003924	Diabetes Mellitus, Type 2
CACNA1G	1	Preclinical	D003920	Diabetes Mellitus
CACNB3	1	Preclinical	D003924	Diabetes Mellitus, Type 2
CALCA	3	Phase II	D003924	Diabetes Mellitus, Type 2
CALCR	5	Launched	D003924	Diabetes Mellitus, Type 2
CBL	1	Preclinical	D003924	Diabetes Mellitus, Type 2
CCKAR	3	Phase II	D003924	Diabetes Mellitus, Type 2
CCKBR	1	Preclinical	D003920	Diabetes Mellitus
CCR2	3	Phase II	D003924	Diabetes Mellitus, Type 2
CCR5	3	Phase II	D003924	Diabetes Mellitus, Type 2
CD28	1	Preclinical	D003920	Diabetes Mellitus
CD3E	1	Preclinical	D003920	Diabetes Mellitus
CDK5	1	Preclinical	D003920	Diabetes Mellitus
CERS6	1	Preclinical	D003924	Diabetes Mellitus, Type 2
CHRM1	1	Preclinical	D003920	Diabetes Mellitus
CHRM2	1	Preclinical	D003924	Diabetes Mellitus, Type 2
CHRNA7	1	Preclinical	D003924	Diabetes Mellitus, Type 2
CNR1	4	Phase III	D003924	Diabetes Mellitus, Type 2
COL4A3BP	1	Preclinical	D003920	Diabetes Mellitus
CPT1A	3	Phase II	D003924	Diabetes Mellitus, Type 2
CPT2	2	Phase I	D003924	Diabetes Mellitus, Type 2
CRBN	1	Preclinical	D003920	Diabetes Mellitus
CTF1	2	Phase I	D003920	Diabetes Mellitus
CTLA4	1	Preclinical	D003920	Diabetes Mellitus
CTSC	1	Preclinical	D003920	Diabetes Mellitus
CTSD	1	Preclinical	D003920	Diabetes Mellitus
CXCL12	3	Phase II	D003920	Diabetes Mellitus
CXCR3	1	Preclinical	D003920	Diabetes Mellitus
CXCR4	2	Phase I	D003924	Diabetes Mellitus, Type 2
DGAT1	2	Phase I	D003924	Diabetes Mellitus, Type 2
DGAT2	3	Phase II	D003924	Diabetes Mellitus, Type 2
DPP4	5	Launched	D003924	Diabetes Mellitus, Type 2
DPP8	1	Preclinical	D003920	Diabetes Mellitus
DRD1	5	Launched	D003924	Diabetes Mellitus, Type 2
DRD2	3	Phase II	D003920	Diabetes Mellitus
EGFR	1	Preclinical	D003924	Diabetes Mellitus, Type 2
EIF2AK3	1	Preclinical	D003920	Diabetes Mellitus
EIF5A	1	Preclinical	D003920	Diabetes Mellitus
EPOR	2	Phase I	D003924	Diabetes Mellitus, Type 2
ERN1	1	Preclinical	D003920	Diabetes Mellitus
ESRRA	1	Preclinical	D003920	Diabetes Mellitus
FABP4	1	Preclinical	D003920	Diabetes Mellitus
FASN	1	Preclinical	D003920	Diabetes Mellitus
FBP1	3	Phase II	D003924	Diabetes Mellitus, Type 2
FFAR1	4	Phase III	D003924	Diabetes Mellitus, Type 2
FFAR2	1	Preclinical	D003924	Diabetes Mellitus, Type 2
FFAR4	2	Phase I	D003924	Diabetes Mellitus, Type 2
FGF1	1	Preclinical	D003924	Diabetes Mellitus, Type 2
FGF21	2	Phase I	D003924	Diabetes Mellitus, Type 2
FGFR4	3	Phase II	D003924	Diabetes Mellitus, Type 2
FOXO1	1	Preclinical	D003924	Diabetes Mellitus, Type 2
FSTL3	1	Preclinical	D003924	Diabetes Mellitus, Type 2
FTO	1	Preclinical	D003920	Diabetes Mellitus
FYN	1	Preclinical	D003924	Diabetes Mellitus, Type 2
GAA	5	Launched	D003924	Diabetes Mellitus, Type 2
GABRA1	1	Preclinical	D003920	Diabetes Mellitus
GAD2	3	Phase II	D003924	Diabetes Mellitus, Type 2
GALR1	1	Preclinical	D003920	Diabetes Mellitus
GAST	3	Phase II	D003924	Diabetes Mellitus, Type 2
GCGR	5	Launched	D003920	Diabetes Mellitus
GCK	5	Launched	D003924	Diabetes Mellitus, Type 2
GCKR	1	Preclinical	D003924	Diabetes Mellitus, Type 2
GCNT1	1	Preclinical	D003920	Diabetes Mellitus
GDF11	1	Preclinical	D003924	Diabetes Mellitus, Type 2
GDF15	2	Phase I	D003920	Diabetes Mellitus
GFRAL	1	Preclinical	D003920	Diabetes Mellitus
GHR	1	Preclinical	D003924	Diabetes Mellitus, Type 2
GHRHR	3	Phase II	D003924	Diabetes Mellitus, Type 2
GHSR	1	Preclinical	D003924	Diabetes Mellitus, Type 2
GIPR	3	Phase II	D003924	Diabetes Mellitus, Type 2
GLP1R	5	Launched	D003924	Diabetes Mellitus, Type 2
GLP2R	1	Preclinical	D003924	Diabetes Mellitus, Type 2
GLUD1	1	Preclinical	D003920	Diabetes Mellitus
GPBAR1	3	Phase II	D003924	Diabetes Mellitus, Type 2
GPER1	2	Phase I	D003920	Diabetes Mellitus
GPR119	3	Phase II	D003924	Diabetes Mellitus, Type 2
GPR142	2	Phase I	D003924	Diabetes Mellitus, Type 2
GPR146	1	Preclinical	D003920	Diabetes Mellitus
GPR39	1	Preclinical	D003924	Diabetes Mellitus, Type 2
GRM4	1	Preclinical	D003920	Diabetes Mellitus
GSK3B	3	Phase II	D003924	Diabetes Mellitus, Type 2
GYS2	1	Preclinical	D003920	Diabetes Mellitus
HCAR2	3	Phase II	D003924	Diabetes Mellitus, Type 2
HMGCR	5	Launched	D003924	Diabetes Mellitus, Type 2
HMMR	1	Preclinical	D003920	Diabetes Mellitus
HNF4A	1	Preclinical	D003920	Diabetes Mellitus
HPSE	1	Preclinical	D003924	Diabetes Mellitus, Type 2
HRH3	3	Phase II	D003924	Diabetes Mellitus, Type 2
HSD11B1	3	Phase II	D003924	Diabetes Mellitus, Type 2
HTR1A	1	Preclinical	D003920	Diabetes Mellitus
HTR2C	1	Preclinical	D003924	Diabetes Mellitus, Type 2
