mode	label	denominator	numerator	mean	l95	u95	y
historical	Preclinical	10346	471	0.045524840518074615	0.041674037783990384	0.04971301027698227	5
historical	Phase I	4323	175	0.04048114735137636	0.03500256155148276	0.04677567372435647	4
historical	Phase II	7863	322	0.040951290855907416	0.036790442840886936	0.0455604551925674	3
historical	Phase III	1911	103	0.05389848246991104	0.04463954293625126	0.0649473149490645	2
historical	Launched	1532	188	0.1227154046997389	0.10722248518458918	0.1400956586506201	1
active	Preclinical	3134	159	0.05073388640714742	0.04358573405923997	0.05898205435338843	5
active	Phase I	1876	87	0.04637526652452026	0.03775068740167389	0.05685381128422156	4
active	Phase II	3267	139	0.04254667891031527	0.036146227724896944	0.05002164753565217	3
active	Phase III	923	61	0.06608884073672806	0.05179228217566091	0.08398224282326805	2
active	Launched	1402	179	0.1276747503566334	0.11121746013901132	0.14616679649276346	1
combined	Preclinical	10346	471	0.045524840518074615	0.041674037783990384	0.04971301027698227	5
combined	Phase I	4323	175	0.04048114735137636	0.03500256155148276	0.04677567372435647	4
combined	Phase II	7863	322	0.040951290855907416	0.036790442840886936	0.0455604551925674	3
combined	Phase III	1911	103	0.05389848246991104	0.04463954293625126	0.0649473149490645	2
combined	Launched	1532	188	0.1227154046997389	0.10722248518458918	0.1400956586506201	1
