share	mean	l95	u95	gensup_all	gensup_launched	nosup_all	nosup_launched
0.1	2.0698731101344525	1.7911846835761802	2.3919223580584252	706	161	12444	1371
0.15000000000000002	2.131898204057213	1.8407619384384597	2.4690807961392007	655	154	12495	1378
0.2	2.1765649876992894	1.8777486814285984	2.5229335493790086	629	151	12521	1381
0.25	2.219812882008957	1.9150035731866781	2.5731384004329287	613	150	12537	1382
0.30000000000000004	2.270663013373133	1.9564173270111935	2.6353837952240022	583	146	12567	1386
0.35	2.3232412374751954	2.0000353595260547	2.6986772117790467	558	143	12592	1389
0.4	2.3111833306585354	1.9838586874456194	2.69251455343908	536	137	12614	1395
0.45000000000000007	2.375570353753528	2.036395125469387	2.771237484833342	506	133	12644	1399
0.5	2.3705575738429947	2.0267252053550253	2.7727208385509763	487	128	12663	1404
0.55	2.462805366439728	2.102999747562564	2.8841707090047466	454	124	12696	1408
0.6	2.4446866111510914	2.0720137740509545	2.884388463816474	411	112	12739	1420
0.65	2.458022367723041	2.0750849552927653	2.911627278110337	386	106	12764	1426
0.7000000000000001	2.4832913960127914	2.0791875163013596	2.9659355441307604	341	95	12809	1437
0.75	2.601466947662915	2.167824980275989	3.121852705526536	301	88	12849	1444
0.8	2.547808280686501	2.076054166855923	3.1267618825984127	239	69	12911	1463
0.85	2.363549996041485	1.8381580983002734	3.0391121356500097	170	46	12980	1486
0.9	2.2557924131829243	1.6049031638330895	3.1706582216588224	96	25	13054	1507
