subpanel	label	mean	l95	u95	numerator	denominator	y
Year	All	2.2962851132355775	1.9279820317329588	2.7349452611484053	107	494	26
Year	2007-2010	2.8531353135313533	1.9599286107134855	4.1534069520809025	20	72	25
Year	2011-2014	1.8917697771667525	1.228335815522987	2.913529707898166	17	92	24
Year	2015-2018	2.20834125927335	1.6258299034221164	2.9995580147370693	33	154	23
Year	2019-2022	2.1692142553707976	1.6225494961400637	2.9000597497320912	37	176	22
Gene count	All	2.43293129344144	2.068077755894621	2.862152867190478	124	545	21
Gene count	1	1.6978487614080833	0.2835226864949147	10.167406538970795	1	6	20
Gene count	2-9	1.2350810521940503	0.49225154346984	3.098873382369038	4	33	19
Gene count	10-99	2.5769102990033224	1.8832461209060665	3.5260747999919064	30	120	18
Gene count	100-999	2.282184800845088	1.8499579983815864	2.8153976845770616	72	330	17
Gene count	1,000+	3.325564409030545	2.455141914177542	4.50457815686614	29	90	16
Beta	All with beta	2.882616109769118	2.396151450353045	3.4678424166703397	88	323	15
Beta	beta 0 - 0.015	3.371206606942889	2.515254270840171	4.518443371094694	31	95	14
Beta	beta 0.015 - 0.024	3.4376657824933687	2.517085775941248	4.69493179178872	27	81	13
Beta	beta 0.024 - 0.049	3.220080555586721	2.453796891582403	4.225663020455203	37	119	12
Beta	beta 0.049+	3.123096382494308	2.5128380764475997	3.881559701665253	60	201	11
Odds ratio	All with OR	2.2386003280481135	1.7797670559282444	2.8157232217805275	60	279	10
Odds ratio	OR 1 - 1.053	3.1385995787773004	2.295934044731685	4.2905445557136055	28	92	9
Odds ratio	OR 1.053 - 1.1	2.7035363576119047	1.9367818613015222	3.773842053651672	26	99	8
Odds ratio	OR 1.1 - 1.204	1.9050513788709509	1.291284308030321	2.810551273308661	21	113	7
Odds ratio	OR 1.204+	2.150354074213955	1.4785206729285914	3.1274656683220314	22	105	6
MAF	All with MAF	2.5298872270600246	2.1122012935926575	3.0301701836168733	97	406	5
MAF	MAF 1 - 3%	3.5189263451443566	2.1750702800429096	5.693077017404114	11	32	4
MAF	MAF 3 - 10%	1.4572925437365514	0.7658763661160367	2.7729038941363413	8	56	3
MAF	MAF 10 - 30%	3.015238257996525	2.319688109441265	3.919346620557448	41	141	2
MAF	MAF 30 - 50%	2.429327341020552	1.887725341016781	3.1263188566675724	48	205	1
