subpanel	label	mean	l95	u95	numerator	denominator	y
Year	All	2.2263418079096042	1.8702293426785737	2.650262046764427	103	412	26
Year	2007-2010	2.605513227513227	1.7839927150426562	3.805340190856145	19	63	25
Year	2011-2014	2.03571164373428	1.339992857743373	3.0926447648491724	17	72	24
Year	2015-2018	2.029571020819342	1.4785951201610672	2.785859680167858	30	128	23
Year	2019-2022	2.156984484960465	1.6246239855913767	2.8637900890442567	37	149	22
Gene count	All	2.4550915750915747	2.096141485393663	2.8755094463261615	124	455	21
Gene count	1	1.4290733421168202	0.2386415776825647	8.557815603555435	1	6	20
Gene count	2-9	1.2707492971519374	0.5137013917607739	3.143467785199504	4	27	19
Gene count	10-99	2.50258304489332	1.8435978719213642	3.397119291562437	30	104	18
Gene count	100-999	2.3500575904169545	1.917025310197536	2.8809065007635497	72	270	17
Gene count	1,000+	3.188743522215615	2.3777766993925904	4.276299474660305	29	79	16
Beta	All with beta	2.850482180293501	2.3831312819481885	3.40948428721412	88	275	15
Beta	beta 0 - 0.015	3.502435064935065	2.6570298226631395	4.616828640557536	31	77	14
Beta	beta 0.015 - 0.024	3.397161673854762	2.5213916581587754	4.577118116879625	27	69	13
Beta	beta 0.024 - 0.049	3.226140350877193	2.4870261416199657	4.1849103993650045	37	100	12
Beta	beta 0.049+	3.0723496501267196	2.4908476541182356	3.7896064647017984	60	172	11
Odds ratio	All with OR	2.2671409326179957	1.8136889807678276	2.833963299581828	60	232	10
Odds ratio	OR 1 - 1.053	3.0767219349854402	2.276078087454555	4.1590039978843905	28	79	9
Odds ratio	OR 1.053 - 1.1	2.748109061800598	1.9931186268697438	3.789088774616181	26	82	8
Odds ratio	OR 1.1 - 1.204	1.9280174985086496	1.3186229508344611	2.81904047870786	21	94	7
Odds ratio	OR 1.204+	2.210560656196113	1.5366971631694697	3.179922844813172	22	86	6
MAF	All with MAF	2.5367125728497717	2.128787095558308	3.0228061278088743	97	341	5
MAF	MAF 1 - 3%	3.3851364153088292	2.130783979089598	5.377902529164858	11	28	4
MAF	MAF 3 - 10%	1.6762925537925135	0.8986143331720704	3.1269885446643158	8	41	3
MAF	MAF 10 - 30%	2.95765441349154	2.29544087166785	3.810910460651491	41	121	2
MAF	MAF 30 - 50%	2.452276169690031	1.9199829347903286	3.132141595355549	48	171	1
