thresh	mean	l95	u95	numerator	denominator	gensup_all	gensup_launched
0.1	1.169433972597738	1.03410999211356	1.3224664945656457	1248	12344	12344	1248
0.15000000000000002	1.169884738227632	1.0345072055115672	1.322978026103881	1248	12343	12343	1248
0.2	1.1508962909317237	1.0284659254225175	1.2879009792533849	1171	11536	11536	1171
0.25	1.3890121723403497	1.2622959417591821	1.5284488772267124	845	7340	7340	845
0.30000000000000004	1.540556818869844	1.400948036507064	1.6940780459521394	791	6397	6397	791
0.35	1.6083167875654458	1.4628594486968542	1.768237469067248	758	5915	5915	758
0.4	1.565134609928889	1.4230817296619587	1.7213672947506315	683	5306	5306	683
0.45000000000000007	1.6647740300608016	1.5115602951423448	1.8335177101909068	596	4324	4324	596
0.5	1.8369697497925968	1.663523498989689	2.028500266874794	509	3331	3331	509
0.55	1.8902234859650644	1.7022854035653676	2.098910570113879	411	2539	2539	411
0.6	2.0189010831978225	1.8079148556957343	2.254509702653448	343	1954	1954	343
0.65	2.2196822038873507	1.981669499181718	2.486281939692106	310	1603	1603	310
0.7000000000000001	2.387582484917044	2.125583831663584	2.681874992350277	284	1360	1360	284
0.75	2.4417687245727526	2.1586336398687207	2.762040947654391	241	1110	1110	241
0.8	2.6344837744742566	2.3023644713506384	3.0145117527359218	188	788	788	188
0.85	2.6922227644921644	2.337135610507032	3.101259242752026	166	675	675	166
0.9	2.782188723660645	2.3968920216662286	3.2294212772603306	145	566	566	145
0.9500000000000001	2.8706021660327194	2.464587676841914	3.343503204637788	136	513	513	136
1	2.8468169204816074	2.4363404080221844	3.326450832590955	130	493	493	130
