indication_mesh_id	n_human_target	n_drugs	n_supported_genes	logbin	indication_mesh_term
D059226	176	840	0	-1	Nociceptive Pain
D012509	156	175	0	-1	Sarcoma
D010149	49	166	0	-1	Pain, Postoperative
D005355	115	143	0	-1	Fibrosis
D005185	99	141	0	-1	Fallopian Tube Neoplasms
D020522	77	128	0	-1	Lymphoma, Mantle-Cell
D008654	101	113	0	-1	Mesothelioma
D000072716	44	107	0	-1	Cancer Pain
D000070642	93	104	0	-1	Brain Injuries, Traumatic
D009325	30	103	0	-1	Nausea
D014945	92	101	0	-1	Wound Healing
D002100	48	85	0	-1	Cachexia
D000080424	64	64	0	-1	Cytokine Release Syndrome
D007511	49	64	0	-1	Ischemia
D013119	60	64	0	-1	Spinal Cord Injuries
D057092	51	64	0	-1	Geographic Atrophy
D005261	43	61	0	-1	Female Urogenital Diseases and Pregnancy Complications
D018278	60	61	0	-1	Carcinoma, Neuroendocrine
D003267	20	57	0	-1	Contraception
D013514	42	57	0	-1	Surgical Procedures, Operative
D023903	45	53	0	-1	Coronary Restenosis
D020528	39	47	0	-1	Multiple Sclerosis, Chronic Progressive
D055371	60	45	0	-1	Acute Lung Injury
D015427	49	44	0	-1	Reperfusion Injury
D019650	11	34	0	-1	Hematopoietic Stem Cell Mobilization
D018589	17	33	0	-1	Gastroparesis
D009400	28	31	0	-1	Nephrosclerosis
D014526	33	29	0	-1	Urethritis
D000758	13	26	0	-1	Anesthesia
D011218	18	25	0	-1	Prader-Willi Syndrome
D012778	10	24	0	-1	Short Bowel Syndrome
D000079689	8	23	0	-1	Opioid-Induced Constipation
D004415	16	23	0	-1	Dyspepsia
D007943	12	23	0	-1	Leukemia, Hairy Cell
D052016	28	23	0	-1	Mucositis
D006470	10	22	0	-1	Hemorrhage
D012003	1	20	0	-1	Rectal Fistula
D015266	25	20	0	-1	Carcinoma, Merkel Cell
D011832	16	19	0	-1	Radiation Injuries
D013584	21	19	0	-1	Sarcoma, Synovial
D009140	18	18	0	-1	Musculoskeletal Diseases
D004686	20	17	0	-1	Encephalomyocarditis virus
D004660	17	15	0	-1	Encephalitis
D005769	6	14	0	-1	Gastrointestinal Motility
D051799	15	13	0	-1	Delayed Graft Function
D062025	9	13	0	-1	Organophosphate Poisoning
D003699	9	12	0	-1	Hepatitis D
D006084	11	12	0	-1	Graft Rejection
D004830	7	11	0	-1	Epilepsy, Tonic-Clonic
D010012	11	11	0	-1	Osteogenesis
D014456	9	11	0	-1	Ulcer
D033581	6	11	0	-1	Stem Cell Transplantation
D045169	12	11	0	-1	Severe Acute Respiratory Syndrome
D005871	4	10	0	-1	Castleman Disease
D000627	17	9	0	-1	Aminophenols
D003328	9	9	0	-1	Coronary Thrombosis
D010188	2	9	0	-1	Exocrine Pancreatic Insufficiency
D012178	6	9	0	-1	Retinopathy of Prematurity
D012774	8	9	0	-1	Shock, Traumatic
D013123	5	9	0	-1	Spinal Fusion
D018357	10	9	0	-1	Respiratory Syncytial Virus Infections
D003586	9	8	0	-1	Cytomegalovirus Infections
D007896	12	8	0	-1	Leishmaniasis
D011472	8	8	0	-1	Prostatitis
D015430	5	8	0	-1	Weight Gain
D018979	9	8	0	-1	Myositis, Inclusion Body
D000071243	9	7	0	-1	Zika Virus Infection
D000881	7	7	0	-1	Anthrax
D005235	7	7	0	-1	Fatty Liver, Alcoholic
D007403	13	7	0	-1	Intervertebral Disc
D008303	2	7	0	-1	Malignant Carcinoid Syndrome
D015210	6	7	0	-1	Arthritis, Gouty
D019969	8	7	0	-1	Amphetamine-Related Disorders
D059268	3	7	0	-1	Atrophic Vaginitis
