assoc_year	n_launched	n_i_l	p_launched	l95	u95
2007	1	9	0.1111111111111111	0.01989088763854492	0.4349997055766559
2008	10	20	0.5	0.2992980081982124	0.7007019918017876
2009	2	17	0.11764705882352941	0.0328797737637927	0.34336350594885867
2010	6	24	0.25	0.11999366228595003	0.44899444005154
2011	3	20	0.15	0.05236874589621661	0.3604188647407569
2012	7	33	0.21212121212121213	0.10676021533020799	0.3775164499215068
2013	5	24	0.20833333333333334	0.09244825352851854	0.40470453253188654
2014	2	9	0.2222222222222222	0.06322510711784675	0.547411030893011
2015	3	17	0.17647058823529413	0.06191126637620996	0.41029458568834115
2016	9	25	0.36	0.20247880774458227	0.5548150225183514
2017	6	35	0.17142857142857143	0.08102640053701592	0.3268228229904496
2018	12	66	0.18181818181818182	0.10718606405608065	0.29145192677071835
2019	10	38	0.2631578947368421	0.14971621254798137	0.42008846187466353
2020	13	57	0.22807017543859648	0.13841890498962198	0.352060110456735
2021	14	70	0.2	0.12304739248362956	0.3081664449625306
2022	0	3	0	0	0.5614970317550454
