area	topl	phase	x_yes	n_yes	x_no	n_no	mean_yes	l_yes	u_yes	mean_no	l_no	u_no	rs_mean	rs_l	rs_u	fraction
all	ALL	Preclinical	741	1086	14115	21525	0.6823204419889503	0.6540292360642407	0.7093263665281836	0.6557491289198606	0.6493746331504052	0.662068043076506	1.040520546497496	0.9980027387074809	1.0848497360694989	741/1086
all	ALL	I	566	659	9869	12345	0.858877086494689	0.8302119910354985	0.8833824797170495	0.7994329688132847	0.7922767509572964	0.8064028923641611	1.0743578511274632	1.0403301569708665	1.1094985419244594	566/659
all	ALL	II	273	426	2785	6785	0.6408450704225352	0.5942153258956379	0.68495737263658385	0.41046425939572584	0.3988132739725246	0.42221657222879466	1.561268869952209	1.446147214676719	1.6855548726598735	273/426
all	ALL	III	185	214	1326	1959	0.8644859813084113	0.8121547831871141	0.9039623455014338	0.6768759571209801	0.6558376532470748	0.6972219364033116	1.277170465598173	1.2013066245431252	1.3578251920625262	185/214
all	ALL	I-Launch	185	659	1326	12345	0.47581926257529583	0.43110455701274153	0.5205339681378501	0.22210917055799131	0.212613977996456	0.23160436311952662	2.61356848097007	2.289534646353069	2.98346225753809	185/659
infection	C01	Preclinical	7	11	464	755	0.6363636363636364	0.35380117450784904	0.8483352890463244	0.614569536423841	0.5793564038414567	0.6486227056142352	1.035462382445141	0.6600586380601371	1.6243743868121037	7/11
infection	C01	I	6	7	364	420	0.8571428571428571	0.4868721707256811	0.9743203756552564	0.8666666666666667	0.8308107452882145	0.895876070241786	0.9890109890109889	0.7292079438116544	1.3413769620660316	6/7
infection	C01	II	4	6	124	230	0.6666666666666666	0.29999331513839217	0.9032285888942195	0.5391304347826087	0.474595795314141	0.6023794343597473	1.2365591397849462	0.6935445088704315	2.2047301746734034	4/6
infection	C01	III	2	3	43	80	0.6666666666666666	0.20765960080204776	0.9385080552796038	0.5375	0.42904357591268805	0.6425200643721476	1.2403100775193798	0.5432390808502735	2.8318453929866148	2/3
infection	C01	I-Launch	2	7	43	420	0.3809523809523809	-0.023883288320802	0.78578805022556375	0.25114492753623185	0.19109206166412934	0.31119779340833437	2.7906976744186047	0.8363100325424764	9.31232821197784	2/7
oncology	C04	Preclinical	88	113	7086	9358	0.7787610619469026	0.6937769497876131	0.8454152225446437	0.7572130797178884	0.7484215093931876	0.7657935647645002	1.028456959878509	0.9315722194404699	1.135417841203815	88/113
oncology	C04	I	68	76	4946	6101	0.8947368421052632	0.8058005367767949	0.945688738171781	0.8106867726602196	0.8006621716815405	0.8203203756248277	1.1036776129567754	1.020799954027939	1.1932840205717978	68/76
oncology	C04	II	25	51	1118	3040	0.49019607843137253	0.3585748589437074	0.6231907610543029	0.36776315789473685	0.35079908666720744	0.38506100628536655	1.3329124136237678	1.0036335965462997	1.770223225394366	25/51
oncology	C04	III	16	16	538	761	1	0.8063923194655637	1	0.7069645203679369	0.6736514839837455	0.7381985750934613	1.4144981412639406	1.3512533874503052	1.480703034842698	16/16
oncology	C04	I-Launch	16	76	538	6101	0.43859649122807015	0.3111742657789736	0.5660187166771666	0.21077491647363214	0.1967728877274966	0.22477694521976768	2.3873997260810014	1.5333001357279823	3.717261428001857	16/76
