y	min	max	label	numerator	denominator	mean	l95	u95
11	1	2	1-2	54	232	0.23275862068965517	0.18300286674954824	0.29122019555657963
10	3	6	3-6	47	379	0.12401055408970976	0.09455294192200697	0.16101357671493802
9	7	11	7-11	45	289	0.15570934256055363	0.11845339870681827	0.20199801277912485
8	12	20	12-20	16	316	0.05063291139240506	0.031403533010023466	0.08065654498251458
7	21	43	21-43	26	316	0.08227848101265822	0.056765722320176605	0.11782533609542213
5	0	0.2	0.0-0.2	14	92	0.15217391304347827	0.09286540270143617	0.23936512897551812
4	0.2	0.4	0.2-0.4	83	783	0.10600255427841634	0.08633073864699112	0.1295214599334572
3	0.4	0.6000000000000001	0.4-0.6	43	417	0.10311750599520383	0.0774601552421566	0.1360203774801967
2	0.6000000000000001	0.8	0.6-0.8	12	109	0.11009174311926606	0.06410803942110752	0.1826227199262561
1	0.8	1.01	0.8-1.0	36	131	0.2748091603053435	0.2056028285490812	0.35684628379361866
