area	phase	phasenum	supported	total	pg_mean	pg_l95	pg_u95
all	Preclinical	1	471	10346	0.045524840518074615	0.041674037783990384	0.04971301027698227
all	Phase I	2	175	4323	0.04048114735137636	0.03500256155148276	0.04677567372435647
all	Phase II	3	322	7863	0.040951290855907416	0.036790442840886936	0.0455604551925674
all	Phase III	4	103	1911	0.05389848246991104	0.04463954293625126	0.0649473149490645
all	Launched	5	188	1532	0.1227154046997389	0.10722248518458918	0.1400956586506201
hematology	Preclinical	1	36	203	0.17733990147783252	0.1309359079844899	0.2357287793228998
hematology	Phase I	2	12	132	0.09090909090909091	0.05276921050750121	0.15218632414590574
hematology	Phase II	3	17	234	0.07264957264957266	0.045850468725952505	0.1132532426636684
hematology	Phase III	4	10	72	0.1388888888888889	0.07722730770298984	0.23713187250556303
hematology	Launched	5	32	81	0.3950617283950617	0.29568103807990187	0.5039452267639384
metabolic	Preclinical	1	109	767	0.1421121251629726	0.11918237002152787	0.16860892127731855
metabolic	Phase I	2	46	255	0.1803921568627451	0.13805308627474228	0.2322178094981249
metabolic	Phase II	3	72	319	0.22570532915360503	0.18325115704758896	0.27468711197381684
metabolic	Phase III	4	18	75	0.24	0.15754873660002922	0.3477876614910298
metabolic	Launched	5	52	94	0.5531914893617021	0.45256986343321765	0.6496362986634265
respiratory	Preclinical	1	25	545	0.045871559633027525	0.03126133434756126	0.06683886919096928
respiratory	Phase I	2	7	220	0.031818181818181815	0.015496567181111722	0.06420921616524253
respiratory	Phase II	3	21	423	0.04964539007092199	0.032697478206998136	0.07469944370248073
respiratory	Phase III	4	12	142	0.08450704225352113	0.04900135565210508	0.14190086821363404
respiratory	Launched	5	12	69	0.17391304347826086	0.10238368967996815	0.2798362613128917
endocrine	Preclinical	1	33	459	0.0718954248366013	0.051648649382923704	0.09924850446895468
endocrine	Phase I	2	15	153	0.09803921568627451	0.06031594280007541	0.15545263698202608
endocrine	Phase II	3	21	253	0.08300395256916997	0.05492890288261026	0.12355263600592609
endocrine	Phase III	4	0	40	0	6.330896909508786e-18	0.08762160119728661
endocrine	Launched	5	13	56	0.23214285714285715	0.1409937910920862	0.35768153215010845
infection	Preclinical	1	4	423	0.009456264775413711	0.0036833279833089275	0.024058726065073557
infection	Phase I	2	2	103	0.019417475728155338	0.005341225274178379	0.06805218312034751
infection	Phase II	3	2	243	0.00823045267489712	0.0022599964093296576	0.029507190748603026
infection	Phase III	4	2	95	0.021052631578947368	0.005792506864405531	0.0735411949470896
infection	Launched	5	2	45	0.044444444444444446	0.01227412670671987	0.1482751076943562
congenital	Preclinical	1	73	462	0.15800865800865802	0.12758645955223888	0.1940711687748466
