year	area	color	n_new_possible_gensup_ti	n_cumulative_possible_gensup_ti
2005	ophthalmology	#882D71	4	4
2005	congenital	#8B7E66	2	2
2006	digestive	#E4B056	4	4
2006	ophthalmology	#882D71	4	8
2006	cardiovascular	#13A77C	1	1
2006	congenital	#8B7E66	3	5
2006	signs/symptoms	#7BB0DF	1	1
2007	oncology	#00C992	21	21
2007	musculoskeletal	#A6CEE3	9	9
2007	digestive	#E4B056	21	25
2007	neurology	#894B45	21	21
2007	ophthalmology	#882D71	10	18
2007	cardiovascular	#13A77C	2	3
2007	hematology	#D2BBD7	6	6
2007	congenital	#8B7E66	13	18
2007	dermatology	#B25237	26	26
2007	metabolic	#FFB90F	27	27
2007	endocrine	#258566	11	11
2007	immune	#E08440	15	15
2007	signs/symptoms	#7BB0DF	7	8
2007	psychiatry	#AE75A2	17	17
2008	infection	#DB5829	3	3
2008	oncology	#00C992	69	90
2008	musculoskeletal	#A6CEE3	22	31
2008	digestive	#E4B056	65	90
2008	respiratory	#1964B0	2	2
2008	neurology	#894B45	16	37
2008	ophthalmology	#882D71	5	23
2008	cardiovascular	#13A77C	11	14
2008	hematology	#D2BBD7	24	30
2008	congenital	#8B7E66	61	79
2008	dermatology	#B25237	34	60
2008	metabolic	#FFB90F	202	229
2008	endocrine	#258566	10	21
2008	immune	#E08440	22	37
2008	signs/symptoms	#7BB0DF	21	29
2008	psychiatry	#AE75A2	9	26
2009	infection	#DB5829	15	18
2009	oncology	#00C992	116	206
2009	musculoskeletal	#A6CEE3	46	77
2009	digestive	#E4B056	56	146
2009	respiratory	#1964B0	3	5
2009	neurology	#894B45	127	164
2009	ophthalmology	#882D71	15	38
2009	cardiovascular	#13A77C	42	56
2009	hematology	#D2BBD7	105	135
2009	congenital	#8B7E66	188	267
2009	dermatology	#B25237	95	155
2009	metabolic	#FFB90F	243	472
2009	endocrine	#258566	18	39
2009	immune	#E08440	59	96
2009	signs/symptoms	#7BB0DF	43	72
2009	psychiatry	#AE75A2	22	48
2009	other	#DEDEDE	8	8
2010	infection	#DB5829	13	31
2010	oncology	#00C992	146	352
2010	musculoskeletal	#A6CEE3	49	126
2010	digestive	#E4B056	136	282
2010	respiratory	#1964B0	19	24
2010	neurology	#894B45	46	210
2010	ophthalmology	#882D71	60	98
2010	cardiovascular	#13A77C	113	169
2010	hematology	#D2BBD7	146	281
2010	congenital	#8B7E66	187	454
2010	dermatology	#B25237	116	271
2010	metabolic	#FFB90F	385	857
2010	endocrine	#258566	41	80
2010	immune	#E08440	47	143
2010	signs/symptoms	#7BB0DF	136	208
2010	psychiatry	#AE75A2	25	73
2010	other	#DEDEDE	33	41
2011	infection	#DB5829	42	73
2011	oncology	#00C992	146	498
2011	musculoskeletal	#A6CEE3	32	158
2011	digestive	#E4B056	552	834
2011	respiratory	#1964B0	28	52
2011	neurology	#894B45	113	323
2011	ophthalmology	#882D71	99	197
2011	cardiovascular	#13A77C	70	239
2011	hematology	#D2BBD7	289	570
2011	congenital	#8B7E66	196	650
2011	dermatology	#B25237	79	350
2011	metabolic	#FFB90F	217	1074
2011	endocrine	#258566	66	146
2011	immune	#E08440	104	247
2011	signs/symptoms	#7BB0DF	100	308
2011	psychiatry	#AE75A2	48	121
2011	other	#DEDEDE	17	58
2012	infection	#DB5829	6	79
2012	oncology	#00C992	158	656
2012	musculoskeletal	#A6CEE3	191	349
2012	digestive	#E4B056	374	1208
2012	respiratory	#1964B0	6	58
2012	neurology	#894B45	97	420
2012	ophthalmology	#882D71	115	312
2012	cardiovascular	#13A77C	47	286
2012	hematology	#D2BBD7	208	778
2012	congenital	#8B7E66	264	914
2012	dermatology	#B25237	463	813
2012	metabolic	#FFB90F	411	1485
2012	endocrine	#258566	30	176
2012	immune	#E08440	102	349
2012	signs/symptoms	#7BB0DF	118	426
2012	psychiatry	#AE75A2	11	132
2012	other	#DEDEDE	23	81
2013	infection	#DB5829	70	149
2013	oncology	#00C992	302	958
2013	musculoskeletal	#A6CEE3	138	487
2013	digestive	#E4B056	57	1265
2013	respiratory	#1964B0	53	111
2013	neurology	#894B45	198	618
2013	ophthalmology	#882D71	333	645
2013	cardiovascular	#13A77C	136	422
2013	hematology	#D2BBD7	40	818
2013	congenital	#8B7E66	226	1140
2013	dermatology	#B25237	155	968
2013	metabolic	#FFB90F	451	1936
2013	endocrine	#258566	17	193
2013	immune	#E08440	198	547
2013	signs/symptoms	#7BB0DF	130	556
2013	psychiatry	#AE75A2	109	241
2013	other	#DEDEDE	33	114
2014	infection	#DB5829	14	163
2014	oncology	#00C992	164	1122
2014	musculoskeletal	#A6CEE3	30	517
2014	digestive	#E4B056	40	1305
2014	respiratory	#1964B0	49	160
2014	neurology	#894B45	215	833
2014	ophthalmology	#882D71	107	752
2014	cardiovascular	#13A77C	76	498
2014	hematology	#D2BBD7	22	840
2014	congenital	#8B7E66	139	1279
2014	dermatology	#B25237	55	1023
2014	metabolic	#FFB90F	117	2053
2014	endocrine	#258566	124	317
2014	immune	#E08440	69	616
2014	signs/symptoms	#7BB0DF	158	714
2014	psychiatry	#AE75A2	140	381
2014	other	#DEDEDE	51	165
2015	infection	#DB5829	70	233
2015	oncology	#00C992	189	1311
2015	musculoskeletal	#A6CEE3	53	570
2015	digestive	#E4B056	287	1592
2015	respiratory	#1964B0	142	302
2015	neurology	#894B45	142	975
2015	ophthalmology	#882D71	112	864
2015	cardiovascular	#13A77C	86	584
2015	hematology	#D2BBD7	24	864
2015	congenital	#8B7E66	135	1414
2015	dermatology	#B25237	263	1286
2015	metabolic	#FFB90F	381	2434
2015	endocrine	#258566	29	346
2015	immune	#E08440	173	789
2015	signs/symptoms	#7BB0DF	201	915
2015	psychiatry	#AE75A2	67	448
2015	other	#DEDEDE	16	181
2016	infection	#DB5829	43	276
2016	oncology	#00C992	201	1512
2016	musculoskeletal	#A6CEE3	57	627
2016	digestive	#E4B056	235	1827
2016	respiratory	#1964B0	47	349
2016	neurology	#894B45	138	1113
2016	ophthalmology	#882D71	451	1315
2016	cardiovascular	#13A77C	500	1084
2016	hematology	#D2BBD7	4291	5155
2016	congenital	#8B7E66	1334	2748
2016	dermatology	#B25237	652	1938
2016	metabolic	#FFB90F	488	2922
2016	endocrine	#258566	45	391
2016	immune	#E08440	477	1266
2016	signs/symptoms	#7BB0DF	602	1517
2016	psychiatry	#AE75A2	171	619
2016	other	#DEDEDE	50	231
2017	infection	#DB5829	43	319
2017	oncology	#00C992	445	1957
2017	musculoskeletal	#A6CEE3	41	668
2017	digestive	#E4B056	212	2039
2017	respiratory	#1964B0	160	509
2017	neurology	#894B45	532	1645
2017	ophthalmology	#882D71	368	1683
2017	cardiovascular	#13A77C	310	1394
2017	hematology	#D2BBD7	59	5214
2017	congenital	#8B7E66	396	3144
2017	dermatology	#B25237	442	2380
2017	metabolic	#FFB90F	668	3590
2017	endocrine	#258566	96	487
2017	immune	#E08440	257	1523
2017	signs/symptoms	#7BB0DF	363	1880
2017	psychiatry	#AE75A2	556	1175
2017	other	#DEDEDE	36	267
2018	infection	#DB5829	231	550
2018	oncology	#00C992	681	2638
2018	musculoskeletal	#A6CEE3	194	862
2018	digestive	#E4B056	590	2629
2018	respiratory	#1964B0	2631	3140
2018	neurology	#894B45	1195	2840
2018	ophthalmology	#882D71	1924	3607
2018	cardiovascular	#13A77C	1314	2708
2018	hematology	#D2BBD7	6505	11719
2018	congenital	#8B7E66	2729	5873
2018	dermatology	#B25237	2500	4880
2018	metabolic	#FFB90F	2840	6430
2018	endocrine	#258566	912	1399
2018	immune	#E08440	2849	4372
2018	signs/symptoms	#7BB0DF	2958	4838
2018	psychiatry	#AE75A2	1973	3148
2018	other	#DEDEDE	474	741
2019	infection	#DB5829	65	615
2019	oncology	#00C992	298	2936
2019	musculoskeletal	#A6CEE3	188	1050
2019	digestive	#E4B056	83	2712
2019	respiratory	#1964B0	430	3570
2019	neurology	#894B45	2159	4999
2019	ophthalmology	#882D71	143	3750
2019	cardiovascular	#13A77C	155	2863
2019	hematology	#D2BBD7	29	11748
2019	congenital	#8B7E66	390	6263
2019	dermatology	#B25237	78	4958
2019	metabolic	#FFB90F	415	6845
2019	endocrine	#258566	57	1456
2019	immune	#E08440	686	5058
2019	signs/symptoms	#7BB0DF	390	5228
2019	psychiatry	#AE75A2	2040	5188
2019	other	#DEDEDE	188	929
2020	infection	#DB5829	245	860
2020	oncology	#00C992	393	3329
2020	musculoskeletal	#A6CEE3	147	1197
2020	digestive	#E4B056	159	2871
2020	respiratory	#1964B0	168	3738
2020	neurology	#894B45	1268	6267
2020	ophthalmology	#882D71	1617	5367
2020	cardiovascular	#13A77C	661	3524
2020	hematology	#D2BBD7	8300	20048
2020	congenital	#8B7E66	3880	10143
2020	dermatology	#B25237	924	5882
2020	metabolic	#FFB90F	4082	10927
2020	endocrine	#258566	1183	2639
2020	immune	#E08440	1130	6188
2020	signs/symptoms	#7BB0DF	1954	7182
2020	psychiatry	#AE75A2	746	5934
2020	other	#DEDEDE	27	956
2021	infection	#DB5829	144	1004
2021	oncology	#00C992	806	4135
2021	musculoskeletal	#A6CEE3	636	1833
2021	digestive	#E4B056	1030	3901
2021	respiratory	#1964B0	330	4068
2021	neurology	#894B45	1259	7526
2021	ophthalmology	#882D71	343	5710
2021	cardiovascular	#13A77C	542	4066
2021	hematology	#D2BBD7	2710	22758
