area	gene	indication_mesh_id	indication_mesh_term	assoc_year
other	ACVR2A	D007676	Kidney Failure, Chronic	2021
other	APOL1	D005923	Glomerulosclerosis, Focal Segmental	2010
other	APOL1	D007676	Kidney Failure, Chronic	2019
other	APOL1	D051437	Renal Insufficiency	2019
other	DNMT3B	D058186	Acute Kidney Injury	2021
other	DPEP1	D058186	Acute Kidney Injury	2021
other	EGFR	D007676	Kidney Failure, Chronic	2021
other	KCNJ1	D051437	Renal Insufficiency	2021
other	NFE2L2	D007676	Kidney Failure, Chronic	2021
other	NFE2L2	D051437	Renal Insufficiency	2021
other	NFKB1	D005923	Glomerulosclerosis, Focal Segmental	2020
other	PGR	D008593	Menopause	2021
other	SLC9A3	D007676	Kidney Failure, Chronic	2021
musculoskeletal	CD28	D001172	Arthritis, Rheumatoid	2013
musculoskeletal	CD28	D012859	Sjogren's Syndrome	2013
musculoskeletal	CD28	D015535	Arthritis, Psoriatic	2012
musculoskeletal	CD40	D001172	Arthritis, Rheumatoid	2008
musculoskeletal	CD40	D012859	Sjogren's Syndrome	2008
musculoskeletal	CTLA4	D001172	Arthritis, Rheumatoid	2009
musculoskeletal	DPP4	D001172	Arthritis, Rheumatoid	2014
musculoskeletal	ESR1	D010024	Osteoporosis	2008
musculoskeletal	HLA-DRB1	D001172	Arthritis, Rheumatoid	2007
musculoskeletal	ICOSLG	D001172	Arthritis, Rheumatoid	2020
musculoskeletal	ICOSLG	D012859	Sjogren's Syndrome	2020
musculoskeletal	IL12B	D013167	Spondylitis, Ankylosing	2010
musculoskeletal	IL12B	D015535	Arthritis, Psoriatic	2009
musculoskeletal	IL12RB2	D001172	Arthritis, Rheumatoid	2020
musculoskeletal	IL23R	D015535	Arthritis, Psoriatic	2010
musculoskeletal	IL2RA	D001172	Arthritis, Rheumatoid	2012
musculoskeletal	IL2RA	D012859	Sjogren's Syndrome	2012
musculoskeletal	IL6R	D001172	Arthritis, Rheumatoid	2012
musculoskeletal	IL6R	D013167	Spondylitis, Ankylosing	2013
musculoskeletal	JAK2	D015535	Arthritis, Psoriatic	2012
musculoskeletal	PPARG	D006073	Gout	2020
musculoskeletal	PRKCB	D001172	Arthritis, Rheumatoid	2020
musculoskeletal	SLC22A12	D006073	Gout	2012
musculoskeletal	SOST	D001851	Bone Diseases, Metabolic	2008
musculoskeletal	SOST	D010024	Osteoporosis	2008
musculoskeletal	TGFB1	D010003	Osteoarthritis	2021
musculoskeletal	TNFRSF1A	D013167	Spondylitis, Ankylosing	2013
musculoskeletal	TNFRSF1A	D015535	Arthritis, Psoriatic	2013
musculoskeletal	TYK2	D001172	Arthritis, Rheumatoid	2013
musculoskeletal	TYK2	D012859	Sjogren's Syndrome	2013
musculoskeletal	TYK2	D015535	Arthritis, Psoriatic	2017
ophthalmology	CD28	D012859	Sjogren's Syndrome	2013
ophthalmology	CD40	D012859	Sjogren's Syndrome	2008
