area	gene	indication_mesh_id	indication_mesh_term	abs_or
musculoskeletal	CD28	D001172	Arthritis, Rheumatoid	1.1199999999999999
musculoskeletal	CD28	D012859	Sjogren's Syndrome	1.1199999999999999
musculoskeletal	CD40	D001172	Arthritis, Rheumatoid	1.15
musculoskeletal	CD40	D012859	Sjogren's Syndrome	1.15
musculoskeletal	CTLA4	D001172	Arthritis, Rheumatoid	1.17
musculoskeletal	ESR1	D010024	Osteoporosis	1.00147021971486
musculoskeletal	IL12B	D015535	Arthritis, Psoriatic	1.0025659363942045
musculoskeletal	IL12RB2	D001172	Arthritis, Rheumatoid	1.1
musculoskeletal	IL2RA	D001172	Arthritis, Rheumatoid	1.1
musculoskeletal	IL2RA	D012859	Sjogren's Syndrome	1.1
musculoskeletal	IL6R	D001172	Arthritis, Rheumatoid	1.0799999999999998
musculoskeletal	IL6R	D013167	Spondylitis, Ankylosing	1.1400000000000006
musculoskeletal	PRKCB	D001172	Arthritis, Rheumatoid	1.0989010989011
musculoskeletal	SOST	D001851	Bone Diseases, Metabolic	1.0029548369500927
musculoskeletal	SOST	D010024	Osteoporosis	1.0029548369500927
musculoskeletal	TGFB1	D010003	Osteoarthritis	1.01277136611018
musculoskeletal	TNFRSF1A	D013167	Spondylitis, Ankylosing	1.1300000000000006
musculoskeletal	TNFRSF1A	D015535	Arthritis, Psoriatic	1.1300000000000006
musculoskeletal	TYK2	D015535	Arthritis, Psoriatic	1.0039010895178575
ophthalmology	APP	D013494	Supranuclear Palsy, Progressive	1.05263157894737
ophthalmology	CD28	D012859	Sjogren's Syndrome	1.1199999999999999
ophthalmology	CD40	D012859	Sjogren's Syndrome	1.15
ophthalmology	IL2RA	D012859	Sjogren's Syndrome	1.1
ophthalmology	VEGFA	D008269	Macular Edema	1.1500000000000006
ophthalmology	VEGFA	D012174	Retinitis Pigmentosa	1.1500000000000006
dermatology	C3	D008181	Lupus Nephritis	1.19047619047619
dermatology	CD200R1	D003876	Dermatitis, Atopic	1.0638297872340425
dermatology	CD28	D001172	Arthritis, Rheumatoid	1.1199999999999999
dermatology	CD28	D012859	Sjogren's Syndrome	1.1199999999999999
dermatology	CD40	D001172	Arthritis, Rheumatoid	1.15
dermatology	CD40	D012859	Sjogren's Syndrome	1.15
dermatology	CTLA4	D001172	Arthritis, Rheumatoid	1.17
dermatology	CTLA4	D008180	Lupus Erythematosus, Systemic	1.1235955056179776
dermatology	ESR1	D006177	Gynecomastia	1.04195629596547
dermatology	IL12B	D011565	Psoriasis	1.0025659363942045
dermatology	IL12B	D015535	Arthritis, Psoriatic	1.0025659363942045
dermatology	IL12RB2	D001172	Arthritis, Rheumatoid	1.1
dermatology	IL13	D003876	Dermatitis, Atopic	1.0974617352680827
dermatology	IL13	D011565	Psoriasis	1.14
dermatology	IL1B	D000152	Acne Vulgaris	1.0700000000000005
dermatology	IL2RA	D001172	Arthritis, Rheumatoid	1.1
dermatology	IL2RA	D003876	Dermatitis, Atopic	1.0869565217391304
dermatology	IL2RA	D012859	Sjogren's Syndrome	1.1
dermatology	IL6R	D001172	Arthritis, Rheumatoid	1.0799999999999998
dermatology	PRKCB	D001172	Arthritis, Rheumatoid	1.0989010989011
dermatology	PRKCB	D008180	Lupus Erythematosus, Systemic	1.1719999999999995
dermatology	SOAT1	D000152	Acne Vulgaris	1.08
dermatology	SOAT1	D012628	Dermatitis, Seborrheic	1.08
dermatology	TNFRSF1A	D015535	Arthritis, Psoriatic	1.1300000000000006
dermatology	TNFSF4	D003876	Dermatitis, Atopic	1.08209610704895
dermatology	TYK2	D011565	Psoriasis	1.0039010895178575
dermatology	TYK2	D015535	Arthritis, Psoriatic	1.0039010895178575
signs/symptoms	APP	D013494	Supranuclear Palsy, Progressive	1.05263157894737
signs/symptoms	GRIA1	D012893	Sleep Wake Disorders	1.0395011000000003
signs/symptoms	HCN4	D001281	Atrial Fibrillation	1.19
signs/symptoms	HCRTR2	D012893	Sleep Wake Disorders	1.074
signs/symptoms	KCND3	D001281	Atrial Fibrillation	1.11
signs/symptoms	KCNH2	D001281	Atrial Fibrillation	1.0600000000000003
signs/symptoms	KCNJ5	D001281	Atrial Fibrillation	1.18
signs/symptoms	MC4R	D009765	Obesity	1.19
signs/symptoms	SCN5A	D001281	Atrial Fibrillation	1.04
immune	ADORA1	D001249	Asthma	1.0479999999999998
immune	C3	D008181	Lupus Nephritis	1.19047619047619
immune	CD200R1	D003876	Dermatitis, Atopic	1.0638297872340425
immune	CD28	D001172	Arthritis, Rheumatoid	1.1199999999999999
immune	CD28	D012859	Sjogren's Syndrome	1.1199999999999999
immune	CD40	D001172	Arthritis, Rheumatoid	1.15
immune	CD40	D012859	Sjogren's Syndrome	1.15
immune	CTLA4	D001172	Arthritis, Rheumatoid	1.17
immune	CTLA4	D008180	Lupus Erythematosus, Systemic	1.1235955056179776
immune	CXCR4	D009103	Multiple Sclerosis	1.0836000000000003
immune	GATA3	D001249	Asthma	1.1111111999999996
immune	IL12B	D009103	Multiple Sclerosis	1.0877999999999999
immune	IL12RB2	D001172	Arthritis, Rheumatoid	1.1
immune	IL13	D001249	Asthma	1.1235955
immune	IL13	D003876	Dermatitis, Atopic	1.0974617352680827
immune	IL1B	D006967	Hypersensitivity	1.0362694
immune	IL2RA	D001172	Arthritis, Rheumatoid	1.1
immune	IL2RA	D003876	Dermatitis, Atopic	1.0869565217391304
immune	IL2RA	D003922	Diabetes Mellitus, Type 1	1.175
immune	IL2RA	D012859	Sjogren's Syndrome	1.1
immune	IL33	D001249	Asthma	1.1627907
immune	IL33	D001327	Autoimmune Diseases	1.0048984081665284
immune	IL33	D065631	Rhinitis, Allergic	1.08
immune	IL4R	D001249	Asthma	1.139
immune	IL4R	D006967	Hypersensitivity	1.06790629721624
immune	IL4R	D065631	Rhinitis, Allergic	1.139
immune	IL6	D001249	Asthma	1.04112
immune	IL6R	D001172	Arthritis, Rheumatoid	1.0799999999999998
immune	IL7R	D001327	Autoimmune Diseases	1.0052718475414864
immune	IL7R	D003922	Diabetes Mellitus, Type 1	1.113054034711086
immune	IL7R	D009103	Multiple Sclerosis	1.1169440411035407
immune	NFKB1	D001249	Asthma	1.0416667
immune	NFKB1	D006967	Hypersensitivity	1.1363636
immune	PDE4D	D001249	Asthma	1.18
immune	PDE4D	D065631	Rhinitis, Allergic	1.18
immune	PRKCB	D001172	Arthritis, Rheumatoid	1.0989010989011
immune	PRKCB	D008180	Lupus Erythematosus, Systemic	1.1719999999999995
immune	TNFRSF1A	D009103	Multiple Sclerosis	1.1176
immune	TNFSF4	D001249	Asthma	1.053
immune	TNFSF4	D003876	Dermatitis, Atopic	1.08209610704895
immune	TNFSF4	D065631	Rhinitis, Allergic	1.053
immune	TSLP	D001249	Asthma	1.17
psychiatry	APP	D000544	Alzheimer Disease	1.05263157894737
psychiatry	APP	D003704	Dementia	1.05263157894737
psychiatry	C9orf72	D057180	Frontotemporal Dementia	1.1981755202240474
psychiatry	DRD2	D003863	Depression	1.0288066000000002
psychiatry	DRD2	D011618	Psychotic Disorders	1.0787486999999998
psychiatry	DRD2	D012559	Schizophrenia	1.0787486999999998
psychiatry	GRIA1	D012559	Schizophrenia	1.0799999999999998
psychiatry	GRIA1	D012893	Sleep Wake Disorders	1.0395011000000003
psychiatry	GRM3	D011618	Psychotic Disorders	1.1061947
psychiatry	GRM3	D012559	Schizophrenia	1.1061947
psychiatry	HCRTR2	D007319	Sleep Initiation and Maintenance Disorders	1.074
psychiatry	HCRTR2	D009290	Narcolepsy	1.074
psychiatry	HCRTR2	D012893	Sleep Wake Disorders	1.074
psychiatry	HTR6	D001714	Bipolar Disorder	1.0766999999999993
psychiatry	SCN2A	D001714	Bipolar Disorder	1.1416829000000006
digestive	CCL20	D003093	Colitis, Ulcerative	1.0762394778137
digestive	CD40	D003093	Colitis, Ulcerative	1.091
digestive	CD40	D003424	Crohn Disease	1.1011125744824986
digestive	IFNG	D003424	Crohn Disease	1.096
digestive	IL12B	D003093	Colitis, Ulcerative	1.1199999999999999
digestive	IL12B	D003424	Crohn Disease	1.11
digestive	IL2RA	D003093	Colitis, Ulcerative	1.1020000000000003
digestive	ITGA4	D003093	Colitis, Ulcerative	1.096803455730531
digestive	ITGA4	D015212	Inflammatory Bowel Diseases	1.096803455730531
digestive	ITGAV	D003424	Crohn Disease	1.1210884009605073
digestive	JAK2	D003093	Colitis, Ulcerative	1.16
digestive	JAK2	D003424	Crohn Disease	1.1199999999999999
digestive	MAP3K8	D003093	Colitis, Ulcerative	1.075
digestive	MAP3K8	D015212	Inflammatory Bowel Diseases	1.075
digestive	MMP9	D003093	Colitis, Ulcerative	1.1160548371688523
digestive	MMP9	D003424	Crohn Disease	1.1160548371688523
digestive	NFKB1	D003093	Colitis, Ulcerative	1.118
digestive	NFKB1	D003424	Crohn Disease	1.118
digestive	PRKCB	D003093	Colitis, Ulcerative	1.0744066975867
