indication_mesh_id	indication_mesh_term	category_2015	area_2023
D012559	Schizophrenia	Neurological/behavioral	psychiatry
D000544	Alzheimer Disease	Neurological/behavioral	neurology
D000544	Alzheimer Disease	Neurological/behavioral	psychiatry
D008268	Macular Degeneration	Eye	ophthalmology
D015179	Colorectal Neoplasms	Oncology	oncology
D009369	Neoplasms	Oncology	oncology
D010190	Pancreatic Neoplasms	Oncology	oncology
D013274	Stomach Neoplasms	Oncology	oncology
D002289	Carcinoma, Non-Small-Cell Lung	Oncology	oncology
D005334	Fever	Inflammation	signs/symptoms
D006258	Head and Neck Neoplasms	Oncology	oncology
D007239	Infections	Infection	infection
D007249	Inflammation	Autoimmune	signs/symptoms
D008113	Liver Neoplasms	Oncology	oncology
D008545	Melanoma	Oncology	oncology
D010146	Pain	Neurological/behavioral	
D001749	Urinary Bladder Neoplasms	Oncology	oncology
D002545	Brain Ischemia	Neurological/behavioral	neurology
D002545	Brain Ischemia	Neurological/behavioral	cardiovascular
D006259	Craniocerebral Trauma	Neurological/behavioral	
D003924	Diabetes Mellitus, Type 2	Diabetes	metabolic
D003924	Diabetes Mellitus, Type 2	Diabetes	endocrine
D018149	Glucose Intolerance	Diabetes	metabolic
D009203	Myocardial Infarction	Cardiovascular	cardiovascular
D009203	Myocardial Infarction	Cardiovascular	signs/symptoms
D013119	Spinal Cord Injuries	Neurological/behavioral	neurology
D000787	Angina Pectoris	Cardiovascular	cardiovascular
D000787	Angina Pectoris	Cardiovascular	signs/symptoms
D000789	Angina, Unstable	Cardiovascular	cardiovascular
D000789	Angina, Unstable	Cardiovascular	signs/symptoms
D006973	Hypertension	Cardiovascular	cardiovascular
D000326	Adrenoleukodystrophy	Neurological/behavioral	neurology
D000326	Adrenoleukodystrophy	Neurological/behavioral	congenital
D000326	Adrenoleukodystrophy	Neurological/behavioral	metabolic
D000326	Adrenoleukodystrophy	Neurological/behavioral	endocrine
D001661	Biliary Tract Neoplasms	Oncology	
D001932	Brain Neoplasms	Oncology	oncology
D005770	Gastrointestinal Neoplasms	Oncology	oncology
D019337	Hematologic Neoplasms	Oncology	oncology
D017681	Hypereosinophilic Syndrome	Blood	hematology
D006976	Hypertension, Pulmonary	Respiratory	respiratory
D006976	Hypertension, Pulmonary	Respiratory	cardiovascular
D007680	Kidney Neoplasms	Oncology	oncology
D007945	Leukemia, Lymphoid	Oncology	
D015470	Leukemia, Myeloid, Acute	Oncology	oncology
D015477	Leukemia, Myelomonocytic, Chronic	Oncology	oncology
D008415	Mastocytosis	Oncology	oncology
D010051	Ovarian Neoplasms	Oncology	oncology
D007690	Polycystic Kidney Diseases	Urogenital	congenital
D011471	Prostatic Neoplasms	Oncology	oncology
D012509	Sarcoma	Oncology	oncology
D012983	Soft Tissue Neoplasms	Oncology	
D048909	Diabetes Complications	Diabetes	endocrine
