mode	label	denominator	numerator	mean	l95	u95	y
historical	Preclinical	7587	406	0.0535125873204165	0.04867072551692714	0.058806352386296834	5
historical	Phase I	2776	112	0.040345821325648415	0.03363881884246372	0.048323214674855085	4
historical	Phase II	4423	239	0.05403572236038888	0.047751408270192815	0.0610940209828928	3
historical	Phase III	963	70	0.07268951194184839	0.057934361508478804	0.09084024627069619	2
historical	Launched	798	114	0.14285714285714285	0.12028737551423216	0.1688489073136403	1
active	Preclinical	2135	130	0.06088992974238876	0.051513743444042574	0.0718434402932551	5
active	Phase I	1118	62	0.055456171735241505	0.04349946065938394	0.0704573358340208	4
active	Phase II	1836	112	0.061002178649237473	0.05094432093314369	0.0728932291602956	3
active	Phase III	443	42	0.09480812641083522	0.07090690434396976	0.12567615008550434	2
active	Launched	750	110	0.14666666666666667	0.12314892120868476	0.17378547554215276	1
combined	Preclinical	7587	406	0.0535125873204165	0.04867072551692714	0.058806352386296834	5
combined	Phase I	2776	112	0.040345821325648415	0.03363881884246372	0.048323214674855085	4
combined	Phase II	4423	239	0.05403572236038888	0.047751408270192815	0.0610940209828928	3
combined	Phase III	963	70	0.07268951194184839	0.057934361508478804	0.09084024627069619	2
combined	Launched	798	114	0.14285714285714285	0.12028737551423216	0.1688489073136403	1
