share	mean	l95	u95	gensup_all	gensup_launched	nosup_all	nosup_launched
0.1	2.0149384996168003	1.7027890020434235	2.38431018309717	617	125	8981	903
0.15000000000000002	2.074246283693875	1.7497949191067397	2.45885823443484	580	121	9018	907
0.2	2.1128437843784376	1.7808471272364665	2.5067333343283873	560	119	9038	909
0.25	2.1581528765352296	1.8186755650131785	2.5609976447137983	544	118	9054	910
0.30000000000000004	2.190795237631683	1.8421346396018172	2.6054467844256517	517	114	9081	914
0.35	2.263002804700536	1.901666547056701	2.6929966781025767	492	112	9106	916
0.4	2.2697310243183493	1.902309633666506	2.708117980154415	472	108	9126	920
0.45000000000000007	2.342660369933097	1.9592407445843445	2.8011144745866208	440	104	9158	924
0.5	2.3547824302134646	1.9636775508661877	2.8237835133350195	420	100	9178	928
0.55	2.493230292800647	2.077162977361738	2.9926382092724193	385	97	9213	931
0.6	2.464840579798914	2.034847542024632	2.985697433518045	347	87	9251	941
0.65	2.4822880371660863	2.0414850452530633	3.018270407508201	328	83	9270	945
0.7000000000000001	2.44336885688044	1.9830437648487576	3.010549477826855	287	72	9311	956
0.75	2.554861634542909	2.0593745698062524	3.1695632583602116	251	66	9347	962
0.8	2.5040315000104445	1.9630423091466345	3.194110347917208	196	51	9402	977
0.85	2.3621583515692697	1.7546152174720366	3.1800659325909297	137	34	9461	994
0.9	2.5738973897389736	1.7283400433209364	3.83312751359711	66	18	9532	1010
