mode	phase	supported	total	pg	pg_l95	pg_u95
historical	Preclinical	431	7884	0.054667681380010144	0.049863079269532234	0.059906046205530944
historical	Phase I	122	2797	0.04361816231676797	0.036654223182213404	0.051833990972203176
historical	Phase II	213	4121	0.051686483863140016	0.04533480949475977	0.058873185675941214
historical	Phase III	66	826	0.07990314769975787	0.06329762380902941	0.10039805248767115
historical	Launched	116	797	0.14554579673776663	0.12276280024097966	0.17172926959765025
active	Historical	0	0			
active	Preclinical	133	2102	0.06327307326355852	0.05364123822384357	0.07449825570169147
active	Phase I	63	1108	0.05685920577617329	0.04469264573040201	0.07208790584069528
active	Phase II	114	1816	0.06277533039647577	0.052515936957604877	0.07488057755577125
active	Phase III	41	435	0.09425287356321839	0.07023823289469844	0.12537104032979884
active	Launched	116	797	0.14554579673776663	0.12276280024097966	0.17172926959765025
combined	Preclinical	431	7884	0.054667681380010144	0.049863079269532234	0.059906046205530944
combined	Phase I	122	2797	0.04361816231676797	0.036654223182213404	0.051833990972203176
combined	Phase II	213	4121	0.051686483863140016	0.04533480949475977	0.058873185675941214
combined	Phase III	66	826	0.07990314769975787	0.06329762380902941	0.10039805248767115
combined	Launched	116	797	0.14554579673776663	0.12276280024097966	0.17172926959765025
