minimum_l2g_share	rs	rs_l95	rs_u95	gensup_all	gensup_launched	nosup_all	nosup_launched
0.1	2.014466666666667	1.707688907437742	2.3763555138388455	500	123	7370	900
0.15000000000000002	2.0725852005272074	1.7540880223776751	2.448913257854463	470	119	7400	904
0.2	2.0996427326594636	1.7754348274337677	2.483053467629556	456	117	7414	906
0.25	2.1390585734576915	1.8084867579506099	2.5300553407800033	444	116	7426	907
0.30000000000000004	2.1698357619614925	1.8306316673628658	2.571892160409	422	112	7448	911
0.35	2.2265298819038533	1.877304898146149	2.640719320503711	404	110	7466	913
0.4	2.246458279543337	1.8907983067884366	2.66901804576953	389	107	7481	916
0.45000000000000007	2.31531021679243	1.9449840703365755	2.7561466861040964	363	103	7507	920
0.5	2.3158866995073892	1.9397558075527936	2.764951744993941	348	99	7522	924
0.55	2.44336569579288	2.045175896817298	2.9190818905444726	320	96	7550	927
0.6	2.4076176267481064	1.996983886276153	2.902688737983436	289	86	7581	937
0.65	2.434190785772332	2.0119144886114344	2.9450977241226513	272	82	7598	941
0.7000000000000001	2.412467953283008	1.9685153013330665	2.956543757458342	236	71	7634	952
0.75	2.549684800851447	2.0683250292838595	3.1430710800534887	204	65	7666	958
0.8	2.5577694526406525	2.0209350565116666	3.2372067334781747	155	50	7715	973
0.85	2.3300300300300303	1.7402277550028395	3.1197295441554918	111	33	7759	990
0.9	2.3162952111890065	1.5489848092398628	3.4637031127568085	57	17	7813	1006
