subpanel	label	rs	rs_l95	rs_u95	approved	supported	x_yes	n_yes	x_no	n_no	n_total
Year	All	2.14971908580156	1.7617765387415762	2.6230864393054345	78	291	78	291	945	7579	7870
Year	2007-2010	2.3989627534181994	1.521480094170637	3.782515666381365	13	42	13	42	1010	7828	7870
Year	2011-2014	2.1948000898472597	1.4243698279550898	3.3819499261012314	15	53	15	53	1008	7817	7870
Year	2015-2018	1.9233440860215054	1.3428767629054155	2.7547222317186333	23	93	23	93	1000	7777	7870
Year	2019-2022	2.0441864545560886	1.4708569063516346	2.84099577800235	27	103	27	103	996	7767	7870
Gene count	All	2.381245560028416	1.991546504866967	2.8471996025690682	96	328	96	328	927	7542	7870
Gene count	1	1.2824527071102412	0.21409543918396354	7.68201766578117	1	6	1	6	1022	7864	7870
Gene count	2-9	1.2832842656198886	0.5236111627570219	3.1451172616649727	4	24	4	24	1019	7846	7870
Gene count	10-99	2.470447223561046	1.7774420546267722	3.433647509641047	25	79	25	79	998	7791	7870
Gene count	100-999	2.2572442079592063	1.7842735390041946	2.8555887328850904	53	186	53	186	970	7684	7870
Gene count	1,000+	2.909666604581859	2.0794631794430662	4.07131986443077	22	59	22	59	1001	7811	7870
Beta	All with beta	2.640551261515969	2.14229653599488	3.2546899308949073	64	194	64	194	959	7676	7870
Beta	beta 0 - 0.015	2.3989627534181994	1.521480094170637	3.782515666381365	13	42	13	42	1010	7828	7870
Beta	beta 0.015 - 0.024	2.9597609561752987	2.067577657879918	4.2369315049971865	19	50	19	50	1004	7820	7870
Beta	beta 0.024 - 0.049	2.7473772669359433	2.005094224745812	3.7644524400509374	26	74	26	74	997	7796	7870
Beta	beta 0.049+	2.9083734586024663	2.3045668726382744	3.6703800072504738	48	131	48	131	975	7739	7870
Odds ratio	All with OR	2.474833232261977	1.9644412080514722	3.117832950360194	53	170	53	170	970	7700	7870
Odds ratio	OR 1 - 1.053	2.8965161290322583	2.083921233739039	4.025970631668624	23	62	23	62	1000	7808	7870
Odds ratio	OR 1.053 - 1.1	3.0835536913771615	2.2734058221772293	4.182404775624118	26	66	26	66	997	7804	7870
Odds ratio	OR 1.1 - 1.204	2.024918883841661	1.3555308548741367	3.024864001726672	18	69	18	69	1005	7801	7870
Odds ratio	OR 1.204+	2.42262099144406	1.6608064132226572	3.533881144399553	19	61	19	61	1004	7809	7870
MAF	All with MAF	2.391514500537057	1.9556499939866427	2.924522089261987	73	245	73	245	950	7625	7870
MAF	MAF 1 - 3%	3.6675490501401433	2.2752430135467177	5.911859065206477	9	19	9	19	1014	7851	7870
MAF	MAF 3 - 10%	1.8165169516082296	0.988308649332315	3.3387685493892025	8	34	8	34	1015	7836	7870
MAF	MAF 10 - 30%	2.7574468085106383	2.0820745687347295	3.651892692001966	33	94	33	94	990	7776	7870
MAF	MAF 30 - 50%	2.1646205357142856	1.5956667808061389	2.936441442535277	31	112	31	112	992	7758	7870
