thresh	mean	l95	u95	numerator	denominator	gensup_all	gensup_launched
0.1	1.2914443697227826	1.1111452732851284	1.500999554412628	839	7435	7435	839
0.15000000000000002	1.2922152330277163	1.111805738963961	1.5018992526742139	839	7434	7434	839
0.2	1.211326530612245	1.056981550568846	1.388209626719994	783	6960	6960	783
0.25	1.384557303474405	1.2327739320218396	1.5550287662720907	564	4487	4487	564
0.30000000000000004	1.5255834939404829	1.3594818413788188	1.7119794661053669	522	3872	3872	522
0.35	1.6021619133764395	1.4279898468471965	1.7975777645348552	495	3522	3522	495
0.4	1.5625870214499051	1.391841996297873	1.7542782917157602	448	3175	3175	448
0.45000000000000007	1.5956191078832744	1.4178778472075018	1.7956415233206036	384	2611	2611	384
0.5	1.7809799874221544	1.578102640887159	2.0099387919502383	335	2049	2049	335
0.55	1.8675078837818264	1.6451126289734401	2.1199677362902194	277	1583	1583	277
0.6	1.953652693644789	1.709379835792142	2.2328324971827107	232	1246	1246	232
0.65	2.1160656921641183	1.8450773848924098	2.426854315281261	211	1044	1044	211
0.7000000000000001	2.2376673441653887	1.9450342324709058	2.57432751545111	195	909	909	195
0.75	2.274782231147052	1.9642092158994264	2.63446182680334	171	774	774	171
0.8	2.5532276330690826	2.188256114199218	2.9790714642436344	145	580	580	145
0.85	2.608996449456976	2.224087204033237	3.06051959695434	132	513	513	132
0.9	2.672802993722839	2.2603114313071093	3.1605714789145485	116	436	436	116
0.9500000000000001	2.7423085411608916	2.3090116657479953	3.2569156087341895	108	394	394	108
1	2.7453675072722694	2.3053411665931187	3.26938279644082	104	378	378	104
