data_subset	areas	area_filter	assoc_source	intogen_mechanism	rs	rs_l95	rs_u95	x_yes	n_yes	x_no	n_no	n_total
All indications	All	All	intOGen	All	1.757564250419585	1.3639135075307147	2.2648299010876936	49	219	974	7651	7870
oncology	C04	only	intOGen	All	2.51472602739726	1.9180758431769442	3.2969744211964533	49	219	280	3147	3366
    oncogenes	C04	only	intOGen	oncogene	1.76257269928156	1.2796228773375795	2.4277953882135157	46	158	74	448	606
    tumor suppressors	C04	only	intOGen	tumor suppressor	1.6473214285714286	0.4510299152000285	6.016602885037282	3	32	7	123	155
    unknown	C04	only	intOGen	unknown	0	0	17.729243779192217	0	22	2	73	95
non-oncology	C04	non	intOGen	All				0	0	694	4504	4504
oncology	C04	only	OMIM	All	6.892307692307692	3.87775127254365	12.250374504882341	4	6	325	3360	3366
    oncogenes	C04	only	OMIM	oncogene	3.082051282051282	1.4794602426298593	6.420611944467427	3	5	117	601	606
    tumor suppressors	C04	only	OMIM	tumor suppressor				0	0	10	155	155
    unknown	C04	only	OMIM	unknown	94	13.38030719245788	660.3734781949264	1	1	1	94	95
non-oncology	C04	non	OMIM	All	2.6377092938607136	2.1356745488577067	3.257757752762704	60	156	634	4348	4504
oncology	C04	only	GWAS	All	2.5528301886792453	1.511355505143145	4.31198480440568	11	45	318	3321	3366
    oncogenes	C04	only	GWAS	oncogene	1.823529411764706	0.938339777224024	3.5437691082523997	6	17	114	589	606
    tumor suppressors	C04	only	GWAS	tumor suppressor	3.3333333333333335	0.5168525166043427	21.497643436293476	1	5	9	150	155
    unknown	C04	only	GWAS	unknown	22.75	1.715886656882657	301.62977136280284	1	4	1	91	95
non-oncology	C04	non	GWAS	All	1.9572530630766904	1.6227045061370076	2.3607745824547823	93	330	601	4174	4504
