first_assoc_year	supported_launched	supported_total_phase_i_through_launch	proportion_launched	proportion_l95	proportion_u95
2007	1	5	0.2	0.03622410863243014	0.6244653702374747
2008	10	17	0.5882352941176471	0.3600544264299979	0.7838894320978519
2009	2	12	0.16666666666666666	0.04696514218385383	0.44803086225297334
2010	6	18	0.3333333333333333	0.16278774750833694	0.5625053270405488
2011	3	15	0.2	0.07047549346981558	0.45185448715169346
2012	7	26	0.2692307692307692	0.1370444832201838	0.46083040379176177
2013	5	18	0.2777777777777778	0.12499753379553996	0.5087265656029745
2014	2	4	0.5	0.15003898915214955	0.8499610108478505
2015	3	10	0.3	0.10779126740630104	0.6032218525388545
2016	9	21	0.42857142857142855	0.24469968925375948	0.6345344563069328
2017	6	24	0.25	0.11999366228595003	0.44899444005154
2018	12	47	0.2553191489361702	0.15253154035054703	0.39508175530417444
2019	10	23	0.43478260869565216	0.25634635325674204	0.6318862491498353
2020	13	39	0.3333333333333333	0.20632956189598378	0.49022605600654007
2021	14	50	0.28	0.17474170665911226	0.4166512369595656
2022	0	3	0	0	0.5614970317550454
