area	topl	phase	x_yes	n_yes	x_no	n_no	mean_yes	l_yes	u_yes	mean_no	l_no	u_no	rs_mean	rs_l	rs_u	fraction
all	ALL	Preclinical	580	941	9018	15606	0.6163655685441021	0.5848827888623425	0.6469021290786477	0.5778546712802768	0.5700874963591109	0.5855835273607919	1.0666446066421886	1.0124340479071952	1.1237578578384193	580/941
all	ALL	I	465	580	6482	9018	0.8017241379310345	0.767337434470921	0.8321403770345649	0.7187846529163895	0.7094137746581841	0.7279692161659319	1.1153885029099149	1.0689977714105368	1.163792428474429	465/580
all	ALL	II	224	465	1998	6482	0.4817204301075269	0.4366411977874456	0.5270992102328668	0.3082381980870102	0.29711326842762	0.31959028256358424	1.5628187327112057	1.412563348018909	1.7290568913163986	224/465
all	ALL	III	145	224	883	1998	0.6473214285714286	0.5827465032754675	0.7069286082762912	0.4419419419419419	0.42029824496589974	0.463808461398013	1.4647205144798578	1.3141223239015025	1.6325772315994416	145/224
all	ALL	I-Launch	145	580	883	9018	0.25	0.21473403184983886	0.28526596815016114	0.0979152805500111	0.09178052304356957	0.10405003805645263	2.5532276330690826	2.188256114199218	2.9790714642436344	145/580
infection	C01	Preclinical	7	10	315	610	0.7	0.3967781474611453	0.892208732593699	0.5163934426229508	0.47675802235355724	0.5558236804829111	1.3555555555555554	0.8969606157651242	2.048619339467968	7/10
infection	C01	I	5	7	245	315	0.7142857142857143	0.3589344518326194	0.9177810759959433	0.7777777777777778	0.7286751685829919	0.8201869544523133	0.9183673469387755	0.5727061077201507	1.4726551237261936	5/7
infection	C01	II	4	5	95	245	0.8	0.37553462976252544	0.9637758913675698	0.3877551020408163	0.3289250752869974	0.4500506618724968	2.0631578947368423	1.295099807956046	3.286712323224608	4/5
infection	C01	III	2	4	38	95	0.5	0.15003898915214955	0.8499610108478505	0.4	0.3072289992606294	0.5005439714472653	1.25	0.45506661953811545	3.4335632035281116	2/4
infection	C01	I-Launch	2	7	38	315	0.28571428571428575	-0.06287649747425156	0.6343050689028231	0.12063492063492064	0.08457241516088213	0.15669742610895915	2.3684210526315788	0.7072076830821844	7.931783571837422	2/7
oncology	C04	Preclinical	62	84	4205	6386	0.7380952380952381	0.6351506273993222	0.8202152162127446	0.6584716567491388	0.6467485330628385	0.6700042397631634	1.1209218051072987	0.9856498935654185	1.2747586149681982	62/84
oncology	C04	I	54	62	3051	4205	0.8709677419354839	0.7655067270982637	0.9331412194071695	0.7255648038049941	0.7118762722235867	0.7388415841177007	1.200399657436483	1.088782651510325	1.3234591271038094	54/62
oncology	C04	II	22	54	780	3051	0.4074074074074074	0.28678212085914584	0.5403315065650942	0.255653883972468	0.2404889132576153	0.2714333844790427	1.5935897435897437	1.1487420328243407	2.210703707455228	22/54
oncology	C04	III	15	22	320	780	0.6818181818181818	0.4731859774104275	0.8363940681864376	0.41025641025641024	0.3762589578412838	0.44513349540987107	1.6619318181818181	1.2341491404939244	2.2379931870954626	15/22
oncology	C04	I-Launch	15	62	320	4205	0.24193548387096772	0.13461307262400068	0.34925789511793476	0.07609988109393578	0.06808271745625075	0.08411704473162082	3.179183467741936	2.0210193986974345	5.0010442888761135	15/62
musculoskeletal	C05	Preclinical	35	53	348	647	0.660377358490566	0.5259478663754831	0.7731296089867582	0.5378670788253478	0.4993400447779398	0.5759471074707608	1.22777054868792	0.9993435625398777	1.5084106975125326	35/53
musculoskeletal	C05	I	24	35	250	348	0.6857142857142857	0.5202023638793082	0.8144915532573418	0.7183908045977011	0.6689480403310396	0.763064720500146	0.9545142857142858	0.7555664730870758	1.2058469427714444	24/35
musculoskeletal	C05	II	11	24	100	250	0.4583333333333333	0.2789133373121099	0.6492513464108051	0.4	0.34122832313654916	0.4617983367625397	1.1458333333333333	0.722865562732536	1.8162907398917962	11/24
musculoskeletal	C05	III	7	11	50	100	0.6363636363636364	0.35380117450784904	0.8483352890463244	0.5	0.4038315303659957	0.5961684696340043	1.2727272727272727	0.7814059008663232	2.0729747611938114	7/11
musculoskeletal	C05	I-Launch	7	35	50	348	0.19999999999999998	0.06523063375672974	0.33476936624327025	0.14367816091954022	0.10674127955821743	0.180615042280863	1.3920000000000001	0.6840246423085954	2.832740050797512	7/35
digestive	C06	Preclinical	49	78	477	840	0.6282051282051282	0.5173105378126465	0.7270643827739703	0.5678571428571428	0.5341233868140941	0.6009730804290775	1.1062731817448799	0.9234533940708886	1.325286539099549	49/78
digestive	C06	I	37	49	345	477	0.7551020408163265	0.6191368101239606	0.8539765474166024	0.7232704402515723	0.6814593681973957	0.7615140819755597	1.0440106477373559	0.8818162244129079	1.2360378528016327	37/49
digestive	C06	II	14	37	98	345	0.3783783783783784	0.24063999175798262	0.5389956956078235	0.28405797101449276	0.2390527701841114	0.33381909973721413	1.332046332046332	0.8530274296980623	2.0800590566544095	14/37
digestive	C06	III	7	14	40	98	0.5	0.26799202452413634	0.7320079754758636	0.40816326530612246	0.316108407997545	0.5071462840656208	1.2249999999999999	0.6889523871954886	2.178125844238059	7/14
digestive	C06	I-Launch	7	49	40	477	0.14285714285714285	0.04330797585848427	0.24240630985580142	0.08385744234800839	0.05891541906008463	0.10879946563593215	1.7035714285714283	0.8069352066653807	3.596516285660542	7/49
respiratory	C08	Preclinical	41	58	520	859	0.7068965517241379	0.5798709910321587	0.8082181720903779	0.6053550640279395	0.5722696249271559	0.637502399990823	1.1677387267904509	0.9809613777015352	1.390078921599575	41/58
respiratory	C08	I	36	41	383	520	0.8780487804878049	0.7445578847902312	0.9467666353142229	0.7365384615384616	0.6970411580988618	0.7725665750382045	1.192128892568299	1.0519214826036332	1.3510241210955667	36/41
respiratory	C08	II	18	36	121	383	0.5	0.3447432540962683	0.6552567459037317	0.31592689295039167	0.2713926066176185	0.3641169883729348	1.5826446280991735	1.1059814296741701	2.2647432874068167	18/36
respiratory	C08	III	12	18	39	121	0.6666666666666666	0.437494672959451	0.8372122524916629	0.32231404958677684	0.2456166954661607	0.4099464451267448	2.0683760683760686	1.3638072678917443	3.136938525664489	12/18
respiratory	C08	I-Launch	12	41	39	520	0.2926829268292683	0.15227913219236866	0.4330867214661679	0.07500000000000001	0.05230707482250137	0.09769292517749865	3.902439024390244	2.221307046167886	6.855887107258054	12/41
