y	min	max	label	numerator	denominator	mean	l95	u95
11	1	2	1-2	40	157	0.25477707006369427	0.19303975813289959	0.3282279512961755
10	3	4	3-4	23	134	0.17164179104477612	0.11718348574039014	0.24440191278276763
9	5	9	5-9	21	165	0.12727272727272726	0.08477195049025579	0.1867339885183424
8	10	19	10-19	16	177	0.0903954802259887	0.05640769715834855	0.14178501293381698
7	20	43	20-43	14	165	0.08484848484848485	0.05121401057614079	0.13737390523018406
5	0	0.2	0.0-0.2	9	64	0.140625	0.07578572556030859	0.2461628174157702
4	0.2	0.4	0.2-0.4	41	371	0.1105121293800539	0.08251424217250067	0.14649313361448907
3	0.4	0.6000000000000001	0.4-0.6	29	207	0.14009661835748793	0.09934735698452568	0.19396051124306968
2	0.6000000000000001	0.8	0.6-0.8	7	57	0.12280701754385964	0.06078060158998089	0.23246448435174008
1	0.8	1.01	0.8-1.0	28	99	0.2828282828282828	0.20351953248569557	0.3783611555841689
