gene	indication_mesh_id	indication_mesh_term	max_phase_number	max_phase	drug	genetic_support
ABCA1	D003924	Diabetes Mellitus, Type 2	1	Preclinical		novel gwas
ABCC8	D003924	Diabetes Mellitus, Type 2	5	Launched	sulfonylureas	omim, established gwas
ACACA	D003920	Diabetes Mellitus	1	Preclinical		none
ACACB	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
ACE	D003920	Diabetes Mellitus	1	Preclinical		established gwas
ACLY	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
ACVR2B	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
ADAM17	D003920	Diabetes Mellitus	1	Preclinical		none
ADH5	D003920	Diabetes Mellitus	1	Preclinical		none
ADIPOQ	D003920	Diabetes Mellitus	1	Preclinical		none
ADIPOR2	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
ADORA1	D003924	Diabetes Mellitus, Type 2	2	Phase I		none
ADORA2B	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
ADRB3	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
ALOX12	D003920	Diabetes Mellitus	1	Preclinical		none
ALOX15	D003920	Diabetes Mellitus	1	Preclinical		none
ANGPTL3	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
APCS	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
APH1A	D003920	Diabetes Mellitus	1	Preclinical		none
APLN	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
APOA4	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
APOC3	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
ATP2A2	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
AVPR2	D003920	Diabetes Mellitus	2	Phase I		none
BACE2	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
BCAT2	D003920	Diabetes Mellitus	1	Preclinical		none
BGLAP	D003920	Diabetes Mellitus	1	Preclinical		none
BMP4	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
BMP7	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
BRD4	D003924	Diabetes Mellitus, Type 2	4	Phase III		none
CACNA1G	D003920	Diabetes Mellitus	1	Preclinical		none
CACNB3	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
CALCA	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
CALCR	D003924	Diabetes Mellitus, Type 2	5	Launched	pramlintide	novel gwas
CBL	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
CCKAR	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
CCKBR	D003920	Diabetes Mellitus	1	Preclinical		none
CCR2	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
CCR5	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
CD28	D003920	Diabetes Mellitus	1	Preclinical		none
CD3E	D003920	Diabetes Mellitus	1	Preclinical		none
CDK5	D003920	Diabetes Mellitus	1	Preclinical		none
CERS6	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
CHRM1	D003920	Diabetes Mellitus	1	Preclinical		none
CHRM2	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
CHRNA7	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
CNR1	D003924	Diabetes Mellitus, Type 2	4	Phase III		none
COL4A3BP	D003920	Diabetes Mellitus	1	Preclinical		none
CPT1A	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
CPT2	D003924	Diabetes Mellitus, Type 2	2	Phase I		none
CRBN	D003920	Diabetes Mellitus	1	Preclinical		none
CTF1	D003920	Diabetes Mellitus	2	Phase I		none
CTLA4	D003920	Diabetes Mellitus	1	Preclinical		none
CTSC	D003920	Diabetes Mellitus	1	Preclinical		none
CTSD	D003920	Diabetes Mellitus	1	Preclinical		none
CXCL12	D003920	Diabetes Mellitus	3	Phase II		none
CXCR3	D003920	Diabetes Mellitus	1	Preclinical		none
CXCR4	D003924	Diabetes Mellitus, Type 2	2	Phase I		none
DGAT1	D003924	Diabetes Mellitus, Type 2	2	Phase I		none
DGAT2	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
DPP4	D003924	Diabetes Mellitus, Type 2	5	Launched	sitagliptin	none
DPP8	D003920	Diabetes Mellitus	1	Preclinical		none
DRD2	D003920	Diabetes Mellitus	3	Phase II	bromocriptine	none
EGFR	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
EIF2AK3	D003920	Diabetes Mellitus	1	Preclinical		none
EIF5A	D003920	Diabetes Mellitus	1	Preclinical		none
EPOR	D003924	Diabetes Mellitus, Type 2	2	Phase I		none
ERN1	D003920	Diabetes Mellitus	1	Preclinical		established gwas
ESRRA	D003920	Diabetes Mellitus	1	Preclinical		none
FABP4	D003920	Diabetes Mellitus	1	Preclinical		none
FASN	D003920	Diabetes Mellitus	1	Preclinical		none
FBP1	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
FFAR1	D003924	Diabetes Mellitus, Type 2	4	Phase III		none
FFAR2	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
FFAR4	D003924	Diabetes Mellitus, Type 2	2	Phase I		none
FGF1	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
FGF21	D003924	Diabetes Mellitus, Type 2	2	Phase I		none
FGFR4	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
FOXO1	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
FSTL3	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
FTO	D003920	Diabetes Mellitus	1	Preclinical		established gwas
FYN	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
GAA	D003924	Diabetes Mellitus, Type 2	5	Launched	voglibose	none
GABRA1	D003920	Diabetes Mellitus	1	Preclinical		none
GAD2	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
GALR1	D003920	Diabetes Mellitus	1	Preclinical		none
GAST	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
GCGR	D003920	Diabetes Mellitus	5	Launched	glucagon	none
GCK	D003924	Diabetes Mellitus, Type 2	5	Launched	dorzagliatin	omim, established gwas
GCKR	D003924	Diabetes Mellitus, Type 2	1	Preclinical		established gwas
GCNT1	D003920	Diabetes Mellitus	1	Preclinical		none
GDF11	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
GDF15	D003920	Diabetes Mellitus	2	Phase I		none
GFRAL	D003920	Diabetes Mellitus	1	Preclinical		none
GHR	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
GHRHR	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
GHSR	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
GIPR	D003924	Diabetes Mellitus, Type 2	3	Phase II	tirzepatide	novel gwas
GLP1R	D003924	Diabetes Mellitus, Type 2	5	Launched	exenatide	novel gwas
GLP2R	D003924	Diabetes Mellitus, Type 2	1	Preclinical		established gwas
GLUD1	D003920	Diabetes Mellitus	1	Preclinical		none
GPBAR1	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
GPER1	D003920	Diabetes Mellitus	2	Phase I		none
GPR119	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
GPR142	D003924	Diabetes Mellitus, Type 2	2	Phase I		none
GPR146	D003920	Diabetes Mellitus	1	Preclinical		none
GPR39	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
GRM4	D003920	Diabetes Mellitus	1	Preclinical		none
GSK3B	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
GYS2	D003920	Diabetes Mellitus	1	Preclinical		none
HCAR2	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
HMMR	D003920	Diabetes Mellitus	1	Preclinical		none
HNF4A	D003920	Diabetes Mellitus	1	Preclinical		omim, established gwas
HPSE	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
HRH3	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
HSD11B1	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
HTR1A	D003920	Diabetes Mellitus	1	Preclinical		none
HTR2C	D003924	Diabetes Mellitus, Type 2	1	Preclinical	lorcaserin	none
IAPP	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
IFNA1	D003920	Diabetes Mellitus	1	Preclinical		none
IGF2R	D003920	Diabetes Mellitus	1	Preclinical		none
IGFBP2	D003920	Diabetes Mellitus	1	Preclinical		none
IKBKB	D003924	Diabetes Mellitus, Type 2	4	Phase III		none
IL13	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
IL18	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
IL1A	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
IL1B	D003924	Diabetes Mellitus, Type 2	4	Phase III		none
IL1R1	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
