area	top_mesh_heading	phase	x_yes	n_yes	x_no	n_no	ps_yes	ps_yes_l95	ps_yes_u95	ps_no	ps_no_l95	ps_no_u95	rs	rs_l95	rs_u95
all	ALL	Preclinical	600	856	8970	13946	0.7009345794392523	0.6694209426933126	0.7306528109865916	0.6431951814140255	0.635205960878713	0.6511055367673434	1.0897696371081174	1.0413271597379385	1.14046565563663
all	ALL	I	474	535	6360	7830	0.8859813084112149	0.856252891393849	0.9102063207534306	0.8122605363984674	0.8034586462127955	0.8207561819407652	1.0907600070534298	1.0561871168315644	1.126464595171667
all	ALL	II	260	359	2210	4385	0.724233983286908	0.6758155135682322	0.7679044530620462	0.5039908779931584	0.4891953021534004	0.5187794675730513	1.436998197607734	1.3394989421372492	1.5415942147987853
all	ALL	III	189	212	1329	1696	0.8915094339622641	0.842470831146356	0.9266121842621948	0.7836084905660378	0.7633815451550574	0.8025535866232971	1.1376975169300225	1.0787504949512927	1.1998656279524407
all	ALL	I-Launch	189	535	1329	7830	0.5720439572098478	0.5234795278280813	0.6206083865916143	0.32078729734334654	0.30795088264825526	0.3336237120384378	2.0813484947574947	1.8373739690058748	2.3577190216606567
infection	C01	Preclinical	6	9	305	508	0.6666666666666666	0.3542021355803963	0.8794161816130889	0.6003937007874016	0.557199479662236	0.6420809776790131	1.110382513661202	0.6958097494335931	1.7719632811242179
infection	C01	I	5	6	236	279	0.8333333333333334	0.43649717781353	0.9699466302516934	0.8458781362007168	0.7988404036618125	0.883520664636705	0.9851694915254238	0.6864178317003206	1.4139477184447518
infection	C01	II	4	5	93	146	0.8	0.37553462976252544	0.9637758913675698	0.636986301369863	0.5564000436868726	0.7105487721803401	1.2559139784946238	0.7967747834942472	1.9796308242347669
infection	C01	III	2	3	43	63	0.6666666666666666	0.20765960080204776	0.9385080552796038	0.6825396825396826	0.5599646825583142	0.7841331334648034	0.9767441860465116	0.4311873931533202	2.2125628441934335
infection	C01	I-Launch	2	6	43	279	0.4444444444444445	-0.004683721303067323	0.8935726101919563	0.36776110748713486	0.2888824379689357	0.446639777005334	2.1627906976744184	0.6749626810433008	6.930255158280242
oncology	C04	Preclinical	60	75	4161	5672	0.8	0.6958871716522836	0.8748785228580329	0.7336036671368125	0.7219436812673894	0.7449474430225071	1.090507089641913	0.972780030343363	1.2224816253058979
oncology	C04	I	49	52	2930	3539	0.9423076923076923	0.8435748863103923	0.9801858278877295	0.8279174908166148	0.8151279082910572	0.8399959596487153	1.1381661853504856	1.0623769684701254	1.2193621510270005
oncology	C04	II	21	35	849	1756	0.6	0.43572709012892513	0.7444927114061941	0.48348519362186787	0.4601735047415484	0.5068689809839175	1.2409893992932861	0.9428220675515092	1.6334521031712839
oncology	C04	III	16	16	538	646	1	0.8063923194655637	1	0.8328173374613003	0.802093582594726	0.8596062738292493	1.2007434944237918	1.1599658720230925	1.2429546197651886
oncology	C04	I-Launch	16	52	538	3539	0.5653846153846154	0.40770442551507924	0.7230648052541515	0.3333649944466196	0.31293066610666187	0.35379932278657733	2.0240205890763514	1.3364670311100366	3.065290238848912
musculoskeletal	C05	Preclinical	34	48	358	602	0.7083333333333334	0.5682074019042831	0.8175842107348348	0.5946843853820598	0.5549855524493725	0.6331824877866121	1.1911080074487896	0.9819101068883899	1.4448759366623862
musculoskeletal	C05	I	22	30	260	337	0.7333333333333333	0.5555203830481111	0.8581733668040367	0.771513353115727	0.723775117504251	0.813131398015243	0.9505128205128205	0.7601618062945845	1.1885293558265344
musculoskeletal	C05	II	12	16	117	220	0.75	0.5050168346449123	0.8981793250878696	0.5318181818181819	0.46590162833659926	0.5966426388146194	1.4102564102564101	1.0355151976202235	1.920612220119921
