phasenum	phase	maxphasenum	maxphase	n_gensup	n_total	y	pg	pg_l95	pg_u95
2	Preclinical	3	Phase I	72	994	14	0.07243460764587525	0.057913785687156515	0.0902474853382242
3	Phase I	3	Phase I	742	6883	13	0.10780183059712335	0.10069276719573345	0.11534842784514568
2	Preclinical	4	Phase II	82	1523	12	0.05384110308601445	0.043586964236517346	0.06634027008834303
3	Phase I	4	Phase II	92	1709	11	0.053832650672908135	0.04409855119287029	0.06556802527476413
4	Phase II	4	Phase II	824	8291	10	0.09938487516584248	0.09312939450539079	0.10601141692797708
2	Preclinical	5	Phase III	44	626	9	0.07028753993610223	0.0527731702638327	0.09304361828587107
3	Phase I	5	Phase III	23	675	8	0.034074074074074076	0.022810985136938633	0.050610368513559316
4	Phase II	5	Phase III	64	1229	7	0.05207485760781123	0.04099016818056489	0.06595096190343668
5	Phase III	5	Phase III	275	1850	6	0.14864864864864866	0.13316662469516796	0.1655867860592855
2	Preclinical	6	Launched	23	522	5	0.044061302681992334	0.02953726381308469	0.06524693013859358
3	Phase I	6	Launched	41	632	4	0.06487341772151899	0.04817818106347818	0.08682631986967224
4	Phase II	6	Launched	78	1575	3	0.049523809523809526	0.03986208546455646	0.06137762921844073
5	Phase III	6	Launched	49	682	2	0.0718475073313783	0.05477097570347345	0.09372027910607211
6	Launched	6	Launched	438	2748	1	0.15938864628820962	0.14617974914003254	0.17354850264586488
