gene	n_launched_indications	mean_similarity_of_launched_indications	n_launched_indications_since_2000_only	mean_similarity_since_2000_only
ABAT	1	1	1	1
ABCB1	4	0.4956666666666667	4	0.4956666666666667
ABCC8	2	0.733		
ABCC9	3	0.5383333333333333		
ABCD1	1	1	1	1
ABL1	10	0.3313111111111111		
ACE	4	0.3373333333333333	3	0.4693333333333333
ACHE	12	0.19457575757575757	6	0.14586666666666667
ACPP	1	1		
ACR	2	0		
ACVR1	1	1		
ACVRL1	2	0.446	2	0.446
ADA	5	0.4049	1	1
ADORA1	3	0.44033333333333335		
ADORA2A	2	0.216		
ADRA1A	15	0.27377142857142855	3	0.048666666666666664
ADRA1B	1	1		
ADRA1D	2	0.032		
ADRA2A	8	0.18589285714285714	4	0.14983333333333332
ADRA2B	4	0.15633333333333332	1	1
ADRA2C	3	0.17666666666666667		
ADRB1	10	0.49637777777777775	5	0.45799999999999996
ADRB2	9	0.31883333333333336	2	0.8
ADRB3	2	0.849	2	0.849
AGT	4	0.158	4	0.158
AGTR1	7	0.31552380952380954	2	0.423
AHR	1	1	1	1
ALAS1	1	1	1	1
ALDH1A1	1	1	1	1
ALK	3	0.432	2	0.375
ALOX5	2	0.8	2	0.8
ALPL	1	1	1	1
AMY2A	1	1		
ANGPT2	2	0.693		
ANGPTL3	1	1	1	1
ANO1	1	1		
ANPEP	19	0.5045672514619883		
ANTXR1	1	1	1	1
APOB	1	1	1	1
APOC3	3	0.7193333333333334	3	0.7193333333333334
APP	1	1	1	1
AR	15	0.15294285714285713	11	0.1342909090909091
ARHGEF2	1	1	1	1
ARSB	1	1		
ATP1A1	2	0.199	1	1
ATP4A	8	0.47267857142857145	7	0.4247142857142857
AVPR1A	6	0.2528666666666667		
AVPR1B	4	0.2813333333333333		
AVPR2	10	0.2801111111111111	2	0.375
AXL	4	0.4846666666666667		
BBOX1	2	0.225		
BCHE	2	0.832		
BCKDK	1	1	1	1
BCL2	20	0.4913157894736842	2	0.697
BCR	10	0.3313111111111111		
BDKRB2	2	0.973		
BRAF	12	0.48215151515151516	5	0.3653
BSG	1	1	1	1
BTK	10	0.5694666666666667	9	0.6239166666666667
C1S	1	1	1	1
C3	3	0.37133333333333335	3	0.37133333333333335
C5	5	0.3125	3	0.3963333333333333
C5AR1	3	0.5353333333333333	3	0.5353333333333333
CA2	2	0.194		
CACNA1B	4	0.6061666666666666		
CACNA1C	11	0.4066	2	0.515
CACNA1G	4	0.5245		
CACNA2D1	9	0.33216666666666667	8	0.3701785714285714
CALCA	2	0.773	2	0.773
CALCB	1	1		
CALCR	7	0.24152380952380953		
CALCRL	1	1	1	1
CASR	3	0.416	3	0.416
CCL3	5	0.6181		
CCL4	5	0.6181		
CCNB1	4	0.35916666666666663		
CCNG1	1	1	1	1
CCR4	3	0.8586666666666667	3	0.8586666666666667
CCR5	1	1		
CD19	8	0.6295714285714286	8	0.6295714285714286
CD2	2	0.218		
CD22	2	0.7	1	1
CD274	16	0.4907166666666667	15	0.48963809523809526
CD276	4	0.615	4	0.615
CD28	1	1	1	1
CD33	1	1		
CD38	2	0.816	2	0.816
CD3E	10	0.4638	1	1
CD4	1	1	1	1
CD44	5	0.2521		
CD6	2	0.349	2	0.349
CD79B	1	1	1	1
CD80	4	0.25483333333333336		
CD86	4	0.25483333333333336		
CDK4	2	0.547		
CDK6	2	0.547		
CFTR	2	0.207	1	1
CHRM1	15	0.20225714285714286		
CHRM2	12	0.24004545454545453		
CHRM3	23	0.20415019762845849	6	0.3791333333333333
CHRM4	11	0.2528		
CHRNA4	1	1		
CHRNA7	1	1	1	1
CHRNB2	1	1		
CLCN2	3	0.06933333333333333	3	0.06933333333333333
CNDP1	1	1	1	1
CNR1	17	0.3001029411764706	4	0.2708333333333333
CNR2	3	0.24533333333333335		
COL7A1	1	1	1	1
COMT	1	1	1	1
CPS1	1	1	1	1
CR1	1	1	1	1
CRBN	11	0.5083636363636364	2	0.519
CSF1R	11	0.28285454545454547		
CSF2RA	8	0.17285714285714285	2	0.205
CSF3	1	1	1	1
CSF3R	8	0.2571428571428572	8	0.2571428571428572
CSNK1E	3	0.6313333333333333		
CTLA4	9	0.5398055555555555	2	0.55
CUBN	2	0.706		
CXCL8	1	1	1	1
CXCR4	1	1	1	1
CYBB	2	0.532		
CYP11B1	1	1	1	1
CYP11B2	1	1		
CYP17A1	1	1	1	1
CYP19A1	1	1		
CYP27B1	1	1		
CYP3A4	2	0.033	1	1
CYP51A1	1	1	1	1
CYSLTR1	3	0.8253333333333334	3	0.8253333333333334
DBH	2	0.487		
DDC	2	0	2	0.464
DHFR	9	0.28655555555555556	3	0.257
DHODH	5	0.2953	1	1
DMD	1	1	1	1
DNASE1	1	1	1	1
DPP4	1	1	1	1
DPYSL2	3	0.7116666666666667		
DRD1	9	0.2687777777777778		
DRD2	23	0.2581501976284585	6	0.32033333333333336
DRD3	8	0.30507142857142855	1	1
