area	phase	phasenum	supported	total	pg_mean	pg_l95	pg_u95
all	Preclinical	1	431	7884	0.054667681380010144	0.049863079269532234	0.059906046205530944
all	Phase I	2	122	2797	0.04361816231676797	0.036654223182213404	0.051833990972203176
all	Phase II	3	213	4121	0.051686483863140016	0.04533480949475977	0.058873185675941214
all	Phase III	4	66	826	0.07990314769975787	0.06329762380902941	0.10039805248767115
all	Launched	5	116	797	0.14554579673776663	0.12276280024097966	0.17172926959765025
respiratory	Preclinical	1	20	408	0.049019607843137254	0.031953785735139274	0.07449848584100051
respiratory	Phase I	2	6	148	0.04054054054054054	0.018710373279666168	0.08561856918262219
respiratory	Phase II	3	16	242	0.06611570247933884	0.041102887097978345	0.10468805879302899
respiratory	Phase III	4	6	69	0.08695652173913043	0.040463621201533996	0.17701498338942176
respiratory	Launched	5	11	46	0.2391304347826087	0.13912177777277826	0.3793513855762202
metabolic	Preclinical	1	105	622	0.16881028938906753	0.1414257130676456	0.2002605971100899
metabolic	Phase I	2	25	144	0.1736111111111111	0.12044933532626768	0.2437344278087702
metabolic	Phase II	3	57	205	0.2780487804878049	0.22122929685154358	0.34303346728605894
metabolic	Phase III	4	10	47	0.2127659574468085	0.11989707998095002	0.349040267091984
metabolic	Launched	5	42	72	0.5833333333333334	0.46807697931465553	0.6901478252526015
hematology	Preclinical	1	31	150	0.20666666666666667	0.1495889415499601	0.2783936018126448
hematology	Phase I	2	9	74	0.12162162162162163	0.06532315657822622	0.21526586566768754
hematology	Phase II	3	13	129	0.10077519379844961	0.059843350896576504	0.1647962991465123
hematology	Phase III	4	10	47	0.2127659574468085	0.11989707998095002	0.349040267091984
hematology	Launched	5	18	53	0.33962264150943394	0.2268703910132418	0.474052133624517
cardiovascular	Preclinical	1	54	684	0.07894736842105263	0.06101027930792054	0.10158744926233251
cardiovascular	Phase I	2	5	163	0.03067484662576687	0.013172190016443139	0.0697895565334336
cardiovascular	Phase II	3	15	254	0.05905511811023622	0.036111277840766315	0.09513781986243842
cardiovascular	Phase III	4	4	96	0.041666666666666664	0.01632070753628833	0.10228191466658103
cardiovascular	Launched	5	14	72	0.19444444444444445	0.11951479379450557	0.30032758945888527
oncology	Preclinical	1	31	2688	0.011532738095238096	0.008136628940433719	0.016323005784688437
oncology	Phase I	2	13	1333	0.009752438109527382	0.005708180589921675	0.01661418129061053
oncology	Phase II	3	25	1916	0.013048016701461378	0.008853540420849508	0.019191201801650185
oncology	Phase III	4	6	227	0.02643171806167401	0.012168965966887806	0.056455876821854746
oncology	Launched	5	7	229	0.03056768558951965	0.014884339052189883	0.06174058380758923
congenital	Preclinical	1	68	342	0.19883040935672514	0.15997860733362096	0.24437273705854076
congenital	Phase I	2	11	74	0.14864864864864866	0.085080595484994	0.24689492517192596
congenital	Phase II	3	39	163	0.2392638036809816	0.18025252669202746	0.310281776946793
congenital	Phase III	4	11	75	0.14666666666666667	0.08391717009472588	0.24384767859312353
congenital	Launched	5	38	80	0.475	0.3692473329740758	0.5830435735027006
infection	Preclinical	1	4	309	0.012944983818770227	0.005045256097258761	0.032806053205965933
infection	Phase I	2	1	72	0.013888888888888888	0.002455951882905775	0.07456602147476152
infection	Phase II	3	1	138	0.007246376811594203	0.0012803107838288883	0.039902703472098074
infection	Phase III	4	2	51	0.0392156862745098	0.010821083352867092	0.13216305655362262
infection	Launched	5	2	39	0.05128205128205128	0.014177955415274114	0.1688564004761361
endocrine	Preclinical	1	36	366	0.09836065573770492	0.07189641746628689	0.13316836640766877
endocrine	Phase I	2	13	94	0.13829787234042554	0.082637781195936455	0.22236031654688312
endocrine	Phase II	3	13	151	0.08609271523178808	0.051002387123860925	0.14172027932460254
endocrine	Phase III	4	0	30	0	0	0.11351339317396873
endocrine	Launched	5	8	44	0.18181818181818182	0.09512805715627728	0.3196055088718467
signs/symptoms	Preclinical	1	69	747	0.09236947791164658	0.07363965618093467	0.11527034226730871
signs/symptoms	Phase I	2	13	184	0.07065217391304347	0.04175118376372979	0.11711395180349114
signs/symptoms	Phase II	3	15	237	0.06329113924050633	0.03872688433624529	0.10178654298811336
signs/symptoms	Phase III	4	6	57	0.10526315789473684	0.04914465852374465	0.2112281058338703
signs/symptoms	Launched	5	11	66	0.16666666666666666	0.095695833476173775	0.2743058711995205
immune	Preclinical	1	50	804	0.06218905472636816	0.04748803718749496	0.08105384152752458
immune	Phase I	2	25	249	0.10040160642570281	0.06893449756720389	0.1440110338809298
immune	Phase II	3	27	322	0.08385093167701864	0.05826562771159609	0.11924848921519883
