area	gene	indication_mesh_id	indication_mesh_term	abs_or
ophthalmology	CD28	D012859	Sjogren's Syndrome	1.1199999999999999
ophthalmology	CD40	D012859	Sjogren's Syndrome	1.15
ophthalmology	IL2RA	D012859	Sjogren's Syndrome	1.1
ophthalmology	VEGFA	D008269	Macular Edema	1.1500000000000006
dermatology	C3	D008181	Lupus Nephritis	1.19047619047619
dermatology	CD200R1	D003876	Dermatitis, Atopic	1.0638297872340425
dermatology	CD28	D001172	Arthritis, Rheumatoid	1.1199999999999999
dermatology	CD28	D012859	Sjogren's Syndrome	1.1199999999999999
dermatology	CD40	D001172	Arthritis, Rheumatoid	1.15
dermatology	CD40	D012859	Sjogren's Syndrome	1.15
dermatology	CTLA4	D001172	Arthritis, Rheumatoid	1.17
dermatology	ESR1	D006177	Gynecomastia	1.04195629596547
dermatology	IL13	D003876	Dermatitis, Atopic	1.0974617352680827
dermatology	IL1B	D000152	Acne Vulgaris	1.0700000000000005
dermatology	IL2RA	D001172	Arthritis, Rheumatoid	1.1
dermatology	IL2RA	D012859	Sjogren's Syndrome	1.1
dermatology	IL6R	D001172	Arthritis, Rheumatoid	1.0799999999999998
dermatology	PRKCB	D001172	Arthritis, Rheumatoid	1.0989010989011
dermatology	PRKCB	D008180	Lupus Erythematosus, Systemic	1.1719999999999995
dermatology	SOAT1	D000152	Acne Vulgaris	1.08
dermatology	SOAT1	D012628	Dermatitis, Seborrheic	1.08
dermatology	TNFRSF1A	D015535	Arthritis, Psoriatic	1.1300000000000006
dermatology	TNFSF4	D003876	Dermatitis, Atopic	1.08209610704895
dermatology	TYK2	D011565	Psoriasis	1.0039010895178575
dermatology	TYK2	D015535	Arthritis, Psoriatic	1.0039010895178575
musculoskeletal	CD28	D001172	Arthritis, Rheumatoid	1.1199999999999999
musculoskeletal	CD28	D012859	Sjogren's Syndrome	1.1199999999999999
musculoskeletal	CD40	D001172	Arthritis, Rheumatoid	1.15
musculoskeletal	CD40	D012859	Sjogren's Syndrome	1.15
musculoskeletal	CTLA4	D001172	Arthritis, Rheumatoid	1.17
musculoskeletal	ESR1	D010024	Osteoporosis	1.00147021971486
musculoskeletal	IL2RA	D001172	Arthritis, Rheumatoid	1.1
musculoskeletal	IL2RA	D012859	Sjogren's Syndrome	1.1
musculoskeletal	IL6R	D001172	Arthritis, Rheumatoid	1.0799999999999998
musculoskeletal	IL6R	D013167	Spondylitis, Ankylosing	1.1400000000000006
musculoskeletal	PRKCB	D001172	Arthritis, Rheumatoid	1.0989010989011
musculoskeletal	SOST	D001851	Bone Diseases, Metabolic	1.0029548369500927
musculoskeletal	SOST	D010024	Osteoporosis	1.0029548369500927
musculoskeletal	TGFB1	D010003	Osteoarthritis	1.01277136611018
musculoskeletal	TNFRSF1A	D013167	Spondylitis, Ankylosing	1.1300000000000006
musculoskeletal	TNFRSF1A	D015535	Arthritis, Psoriatic	1.1300000000000006
musculoskeletal	TYK2	D015535	Arthritis, Psoriatic	1.0039010895178575
psychiatry	APP	D000544	Alzheimer Disease	1.05263157894737
psychiatry	APP	D003704	Dementia	1.05263157894737
psychiatry	C9orf72	D057180	Frontotemporal Dementia	1.1981755202240474
psychiatry	DRD2	D012559	Schizophrenia	1.0787486999999998
psychiatry	GRIA1	D012559	Schizophrenia	1.0799999999999998
psychiatry	GRIA1	D012893	Sleep Wake Disorders	1.0395011000000003
psychiatry	HCRTR2	D007319	Sleep Initiation and Maintenance Disorders	1.074
psychiatry	HCRTR2	D009290	Narcolepsy	1.074
psychiatry	SCN2A	D001714	Bipolar Disorder	1.1416829000000006
neurology	APP	D000544	Alzheimer Disease	1.05263157894737
neurology	APP	D003704	Dementia	1.05263157894737
neurology	C9orf72	D000690	Amyotrophic Lateral Sclerosis	1.1981755202240474
neurology	C9orf72	D057180	Frontotemporal Dementia	1.1981755202240474
neurology	GRIA1	D012893	Sleep Wake Disorders	1.0395011000000003
neurology	HCRTR2	D007319	Sleep Initiation and Maintenance Disorders	1.074
neurology	HCRTR2	D009290	Narcolepsy	1.074
neurology	IL7R	D009103	Multiple Sclerosis	1.1169440411035407
neurology	LRRK2	D010300	Parkinson Disease	1.155
neurology	NOS3	D020521	Stroke	1.0500000000000005
neurology	SCN1A	D004829	Epilepsy, Generalized	1.0850000000000002
neurology	TNFRSF1A	D009103	Multiple Sclerosis	1.1176
neurology	TRPM8	D008881	Migraine Disorders	1.1800000000000002
digestive	CCL20	D003093	Colitis, Ulcerative	1.0762394778137
digestive	CD40	D003093	Colitis, Ulcerative	1.091
digestive	CD40	D003424	Crohn Disease	1.1011125744824986
digestive	IFNG	D003424	Crohn Disease	1.096
digestive	IL2RA	D003093	Colitis, Ulcerative	1.1020000000000003
digestive	ITGA4	D003093	Colitis, Ulcerative	1.096803455730531
digestive	ITGA4	D003424	Crohn Disease	1.1096004549155822
digestive	MAP3K8	D003093	Colitis, Ulcerative	1.075
