area	gene	indication_mesh_id	indication_mesh_term	lead_maf
other	ACVR2A	D007676	Kidney Failure, Chronic	0.2869429241595
other	DPEP1	D058186	Acute Kidney Injury	0.480412916887242
other	KCNJ1	D051437	Renal Insufficiency	0.152492858997663
other	NFE2L2	D007676	Kidney Failure, Chronic	0.319251267385935
other	NFE2L2	D051437	Renal Insufficiency	0.319251267385935
other	PGR	D008593	Menopause	0.327183833116036
other	SLC9A3	D007676	Kidney Failure, Chronic	0.251397737615395
ophthalmology	CD28	D012859	Sjogren's Syndrome	0.22868820552744296
ophthalmology	CD40	D012859	Sjogren's Syndrome	0.24548408057180005
ophthalmology	IL2RA	D012859	Sjogren's Syndrome	0.430606139438085
ophthalmology	MC1R	D000417	Albinism	0.0721047853715471
ophthalmology	TGFB2	D005901	Glaucoma	0.26001300390117
ophthalmology	VEGFA	D008269	Macular Edema	0.483123458392834
ophthalmology	VEGFA	D009216	Myopia	0.483123458392834
dermatology	CBS	D006712	Homocystinuria	0.160858257477243
dermatology	CD200R1	D003876	Dermatitis, Atopic	0.45255095417369895
dermatology	CD28	D001172	Arthritis, Rheumatoid	0.22868820552744296
dermatology	CD28	D011565	Psoriasis	0.0222294232015554
dermatology	CD28	D012859	Sjogren's Syndrome	0.22868820552744296
dermatology	CD40	D001172	Arthritis, Rheumatoid	0.24548408057180005
dermatology	CD40	D012859	Sjogren's Syndrome	0.24548408057180005
dermatology	ESR1	D006177	Gynecomastia	0.0795174471397068
dermatology	GATA3	D003876	Dermatitis, Atopic	0.274558212058212
dermatology	HLA-DRB1	D001172	Arthritis, Rheumatoid	0.373907371167645
dermatology	IFNG	D011565	Psoriasis	0.0254632629260075
dermatology	IL13	D003876	Dermatitis, Atopic	0.24086357133567404
dermatology	IL2	D011565	Psoriasis	0.0299078759569223
dermatology	IL23R	D011565	Psoriasis	0.065854290899663
dermatology	IL2RA	D001172	Arthritis, Rheumatoid	0.430606139438085
dermatology	IL2RA	D012859	Sjogren's Syndrome	0.430606139438085
dermatology	IL33	D003876	Dermatitis, Atopic	0.150921359979237
dermatology	IL4R	D003876	Dermatitis, Atopic	0.067936549213366
dermatology	IL6R	D001172	Arthritis, Rheumatoid	0.377549686192469
dermatology	INPP5D	D003876	Dermatitis, Atopic	0.190652626105044
dermatology	JAK2	D011565	Psoriasis	0.0164635727249157
dermatology	MAPK14	D017719	Diabetic Foot	0.100737910133087
dermatology	MC1R	D000417	Albinism	0.0721047853715471
dermatology	MC1R	D010787	Photosensitivity Disorders	0.0772225827384815
dermatology	NFKB1	D003876	Dermatitis, Atopic	0.345579644294431
dermatology	STAT3	D011565	Psoriasis	0.344105717650137
dermatology	TNFSF4	D003876	Dermatitis, Atopic	0.324243604726659
dermatology	TSLP	D003876	Dermatitis, Atopic	0.0271725032425422
dermatology	TYK2	D011565	Psoriasis	0.0426014784074698
dermatology	TYK2	D015535	Arthritis, Psoriatic	0.0426014784074698
musculoskeletal	CD28	D001172	Arthritis, Rheumatoid	0.22868820552744296
musculoskeletal	CD28	D012859	Sjogren's Syndrome	0.22868820552744296
musculoskeletal	CD40	D001172	Arthritis, Rheumatoid	0.24548408057180005
musculoskeletal	CD40	D012859	Sjogren's Syndrome	0.24548408057180005
musculoskeletal	ESR1	D010024	Osteoporosis	0.400077962577963
musculoskeletal	HLA-DRB1	D001172	Arthritis, Rheumatoid	0.373907371167645
musculoskeletal	IL2RA	D001172	Arthritis, Rheumatoid	0.430606139438085
musculoskeletal	IL2RA	D012859	Sjogren's Syndrome	0.430606139438085
musculoskeletal	IL6R	D001172	Arthritis, Rheumatoid	0.377549686192469
musculoskeletal	SLC22A12	D006073	Gout	0.31723779854621004
musculoskeletal	SOST	D001851	Bone Diseases, Metabolic	0.347045040354074
musculoskeletal	SOST	D010024	Osteoporosis	0.347045040354074
musculoskeletal	TYK2	D015535	Arthritis, Psoriatic	0.0426014784074698
